Time(longsecs),Time(UTC),External SOH Voltage 1(V),External SOH Voltage 2(V),External SOH Voltage 3(V),External SOH Voltage 4(V),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1570464045,2019-10-07 16:00:45.722,1.3160706E-3,-5.9411526E-3,3.5977364E-4,4.339218E-4,3.7086868E-1,3.63739E-1,3.7327003E-1,
1570464105,2019-10-07 16:01:45.722,1.7335415E-3,-6.0186386E-3,8.4519386E-4,8.442402E-4,3.65551E-1,3.6036968E-1,3.7127113E-1,
1570464165,2019-10-07 16:02:45.723,-5.104542E-4,-8.350611E-3,-1.7397404E-3,-2.3305416E-3,3.6303997E-1,3.5747528E-1,3.701105E-1,
1570464225,2019-10-07 16:03:45.722,-2.5320053E-3,-1.0257721E-2,-3.5061836E-3,-3.893137E-3,3.5891247E-1,3.52293E-1,3.6196423E-1,
1570464285,2019-10-07 16:04:45.724,-4.9996376E-4,-8.7406635E-3,-1.4600754E-3,-2.1381378E-3,3.6319065E-1,3.587246E-1,3.6266708E-1,
1570464345,2019-10-07 16:05:45.722,-4.1389465E-4,-7.6384544E-3,-1.6143322E-3,-1.5377998E-3,3.6487675E-1,3.5872746E-1,3.6530018E-1,
1570464405,2019-10-07 16:06:45.722,-2.482891E-3,-9.842157E-3,-3.767252E-3,-4.157543E-3,3.54414E-1,3.4789085E-1,3.5973167E-1,
1570464465,2019-10-07 16:07:45.724,-5.841255E-4,-8.687258E-3,-1.7886162E-3,-1.9569397E-3,3.5909462E-1,3.5482788E-1,3.6680508E-1,
1570464525,2019-10-07 16:08:45.723,-6.096363E-4,-8.1858635E-3,-1.9316673E-3,-2.1247864E-3,3.5884953E-1,3.545246E-1,3.6136436E-1,
1570464585,2019-10-07 16:09:45.722,-6.9642067E-4,-8.416176E-3,-1.7633438E-3,-2.0866394E-3,3.6001015E-1,3.5360146E-1,3.6292362E-1,
1570464645,2019-10-07 16:10:45.743,-2.1746159E-3,-9.958744E-3,-3.6182404E-3,-3.7333965E-3,3.5286808E-1,3.4842205E-1,3.5599518E-1,
1570464705,2019-10-07 16:11:45.725,-2.3195744E-3,-1.0045528E-2,-3.2894611E-3,-4.0061474E-3,3.5914898E-1,3.5387993E-1,3.556919E-1,
1570464765,2019-10-07 16:12:45.722,2.0127296E-3,-6.160021E-3,6.635189E-4,-1.6307831E-4,3.6983013E-1,3.641777E-1,3.736534E-1,
1570464825,2019-10-07 16:13:45.722,1.4338493E-3,-6.0527325E-3,1.034975E-3,2.48909E-4,3.7184906E-1,3.657093E-1,3.690443E-1,
1570464885,2019-10-07 16:14:45.722,-8.971691E-4,-8.51059E-3,-1.8622875E-3,-2.3212433E-3,3.6582088E-1,3.5871983E-1,3.6132336E-1,
1570464945,2019-10-07 16:15:45.724,-7.047653E-4,-8.435488E-3,-1.8606186E-3,-2.4163723E-3,3.6620712E-1,3.5942173E-1,3.6171627E-1,
1570465005,2019-10-07 16:16:45.722,-6.389618E-5,-8.112431E-3,-1.4262199E-3,-1.0712147E-3,3.6298466E-1,3.5920238E-1,3.6696243E-1,
1570465065,2019-10-07 16:17:45.722,-2.2478104E-3,-1.0128975E-2,-3.5350323E-3,-4.214287E-3,3.5928822E-1,3.5348797E-1,3.6144924E-1,
1570465125,2019-10-07 16:18:45.722,-2.6061535E-3,-1.0483503E-2,-3.5533905E-3,-3.9010048E-3,3.5755253E-1,3.52993E-1,3.5994244E-1,
1570465185,2019-10-07 16:19:45.722,1.7840862E-3,-5.9161186E-3,1.0995865E-3,2.7656555E-5,3.6248493E-1,3.60425E-1,3.7345028E-1,
1570465245,2019-10-07 16:20:45.722,1.7616749E-3,-5.8493614E-3,3.0350685E-4,2.1338463E-4,3.7365913E-1,3.6733913E-1,3.7349033E-1,
1570465305,2019-10-07 16:21:45.722,-2.4261475E-3,-1.00905895E-2,-3.5910606E-3,-4.1148663E-3,3.5310555E-1,3.5209274E-1,3.621359E-1,
1570465365,2019-10-07 16:22:45.722,1.974821E-3,-6.0458183E-3,3.9601326E-4,-4.272461E-4,3.6501694E-1,3.6347198E-1,3.742485E-1,
1570465425,2019-10-07 16:23:45.722,1.6994476E-3,-6.1967373E-3,6.041527E-4,1.6140938E-4,3.698187E-1,3.6619186E-1,3.741083E-1,
1570465485,2019-10-07 16:24:45.722,-1.9836426E-4,-7.7524185E-3,-9.880066E-4,-1.2578964E-3,3.6411858E-1,3.5578918E-1,3.6221504E-1,
1570465545,2019-10-07 16:25:45.722,-7.054806E-4,-8.3043575E-3,-1.534462E-3,-1.8785E-3,3.5977745E-1,3.5742474E-1,3.6490917E-1,
1570465605,2019-10-07 16:26:45.724,-1.9669533E-4,-8.327246E-3,-1.7027855E-3,-2.2974014E-3,3.622427E-1,3.581009E-1,3.6549377E-1,
1570465665,2019-10-07 16:27:45.722,-2.4750233E-3,-1.0042906E-2,-3.720045E-3,-4.27413E-3,3.537941E-1,3.513775E-1,3.6008358E-1,
1570465725,2019-10-07 16:28:45.722,-2.374649E-4,-7.7400208E-3,-1.1429787E-3,-1.7483234E-3,3.639946E-1,3.5565186E-1,3.622856E-1,
1570465785,2019-10-07 16:29:45.722,-5.7673454E-4,-8.256912E-3,-1.9316673E-3,-1.9655228E-3,3.6324883E-1,3.5384083E-1,3.618765E-1,
1570465845,2019-10-07 16:30:45.723,-2.9611588E-3,-1.0029554E-2,-4.149437E-3,-3.8263798E-3,3.5962963E-1,3.5538864E-1,3.6553764E-1,
1570465905,2019-10-07 16:31:45.722,2.0623207E-4,-7.849693E-3,-1.7225742E-3,-1.9936562E-3,3.5982418E-1,3.584442E-1,3.6735058E-1,
1570465965,2019-10-07 16:32:45.723,1.5568733E-4,-7.751465E-3,-7.0786476E-4,-1.2586117E-3,3.6476326E-1,3.5922146E-1,3.661089E-1,
1570466025,2019-10-07 16:33:45.722,-2.4971962E-3,-9.982586E-3,-3.1535625E-3,-3.8526058E-3,3.5740566E-1,3.5233974E-1,3.602867E-1,
1570466085,2019-10-07 16:34:45.722,-1.7523766E-4,-7.6699257E-3,-1.4410019E-3,-1.7988682E-3,3.5989094E-1,3.58469E-1,3.6693192E-1,
1570466145,2019-10-07 16:35:45.722,2.0241737E-3,-6.3142776E-3,7.195473E-4,1.16825104E-4,3.6588192E-1,3.643198E-1,3.7163448E-1,
1570466205,2019-10-07 16:36:45.722,-7.4338913E-4,-8.246183E-3,-1.9478798E-3,-2.2921562E-3,3.5959053E-1,3.5736752E-1,3.6475563E-1,
1570466265,2019-10-07 16:37:45.722,-7.8320503E-4,-8.0702305E-3,-1.6312599E-3,-2.2313595E-3,3.592291E-1,3.5301876E-1,3.6119556E-1,
1570466325,2019-10-07 16:38:45.725,-8.392334E-5,-7.681608E-3,-1.3628006E-3,-1.1248589E-3,3.643198E-1,3.6159325E-1,3.693037E-1,
1570466385,2019-10-07 16:39:45.722,1.9309521E-3,-5.631447E-3,3.8194656E-4,1.5163422E-4,3.636074E-1,3.611107E-1,3.6856365E-1,
1570466445,2019-10-07 16:40:45.722,1.732111E-3,-5.8534145E-3,6.3848495E-4,4.6777725E-4,3.6507225E-1,3.6156273E-1,3.690529E-1,
1570466505,2019-10-07 16:41:45.722,-1.9931793E-4,-7.858038E-3,-1.6312599E-3,-1.8827915E-3,3.5786533E-1,3.5865593E-1,3.6569977E-1,
1570466565,2019-10-07 16:42:45.722,-2.48909E-4,-8.305073E-3,-1.6505718E-3,-2.2604465E-3,3.6429214E-1,3.530836E-1,3.5978794E-1,
1570466625,2019-10-07 16:43:45.722,2.0670891E-4,-7.54714E-3,-7.574558E-4,-9.858608E-4,3.6034012E-1,3.5925388E-1,3.6722374E-1,
1570466685,2019-10-07 16:44:45.722,-1.3327599E-4,-7.3535442E-3,-1.0447502E-3,-1.6357899E-3,3.6046886E-1,3.543558E-1,3.6145592E-1,
1570466745,2019-10-07 16:45:45.741,-1.8048286E-4,-7.7650547E-3,-1.250267E-3,-1.5881062E-3,3.6392117E-1,3.548355E-1,3.6343002E-1,
1570466805,2019-10-07 16:46:45.722,7.224083E-5,-8.00705E-3,-1.3036728E-3,-1.3849735E-3,3.600979E-1,3.545437E-1,3.6395645E-1,
1570466865,2019-10-07 16:47:45.722,1.5347004E-3,-5.8004856E-3,4.348755E-4,4.0197372E-4,3.7188816E-1,3.6020947E-1,3.6829567E-1,
1570466925,2019-10-07 16:48:45.722,-7.1930885E-4,-7.330656E-3,-1.6102791E-3,-1.8904209E-3,3.6010265E-1,3.579874E-1,3.6865425E-1,
1570466985,2019-10-07 16:49:45.760,-9.036064E-4,-8.457661E-3,-1.8491745E-3,-2.0976067E-3,3.6011696E-1,3.5359955E-1,3.612547E-1,
1570467045,2019-10-07 16:50:45.723,1.9490719E-3,-6.165743E-3,5.605221E-4,6.175041E-5,3.654499E-1,3.6002254E-1,3.6703014E-1,
