Time(longsecs),Time(UTC),Earth Location,GPS Receiver Status,GPS Satellites Used,GPS PDOP,GPS TDOP,Timing Status,Timing Phase Lock,Timing Uncertainty(ns),DAC Count,Timing Error(ns),GPS Last Update Time,
1570460445,2019-10-07 15:00:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,46500,9424,0,2019-10-07 14:27:42.000000000,
1570460505,2019-10-07 15:01:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,48300,9424,0,2019-10-07 14:27:42.000000000,
1570460565,2019-10-07 15:02:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,49900,9424,0,2019-10-07 14:27:42.000000000,
1570460625,2019-10-07 15:03:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,51600,9424,0,2019-10-07 14:27:42.000000000,
1570460685,2019-10-07 15:04:45.722,57.990624N 10.574469E 185m,No GPS time,6,2.5053306E0,10.5979064E0,Time OK,Free running,53200,9424,0,2019-10-07 14:27:42.000000000,
1570460745,2019-10-07 15:05:45.723,57.990560N 10.574477E 215m,Doing fixes,5,3.8347871E0,2.6713946E0,Time OK,Coarse lock,100,9657,-833,2019-10-07 15:05:42.000000000,
1570460805,2019-10-07 15:06:45.722,57.990572N 10.574483E 207m,Doing fixes,5,3.8616629E0,2.7048473E0,Time OK,Fine lock,100,9438,0,2019-10-07 15:06:42.000000000,
1570460865,2019-10-07 15:07:45.722,57.990572N 10.574482E 206m,Off,5,3.8711665E0,2.7163284E0,Time OK,Free running,600,9443,0,2019-10-07 15:07:02.000000000,
1570460925,2019-10-07 15:08:45.722,57.990572N 10.574482E 206m,Off,5,3.8711665E0,2.7163284E0,Time OK,Free running,1500,9443,0,2019-10-07 15:07:02.000000000,
1570460985,2019-10-07 15:09:45.723,57.990572N 10.574482E 206m,Off,5,3.8711665E0,2.7163284E0,Time OK,Free running,2700,9443,0,2019-10-07 15:07:02.000000000,
