Time(longsecs),Time(UTC),Earth Location,GPS Receiver Status,GPS Satellites Used,GPS PDOP,GPS TDOP,Timing Status,Timing Phase Lock,Timing Uncertainty(ns),DAC Count,Timing Error(ns),GPS Last Update Time,
1570456845,2019-10-07 14:00:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,6200,9395,0,2019-10-07 13:55:22.000000000,
1570456905,2019-10-07 14:01:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,7900,9395,0,2019-10-07 13:55:22.000000000,
1570456965,2019-10-07 14:02:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,9500,9395,0,2019-10-07 13:55:22.000000000,
1570457025,2019-10-07 14:03:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,10800,9395,0,2019-10-07 13:55:22.000000000,
1570457085,2019-10-07 14:04:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,12400,9395,0,2019-10-07 13:55:22.000000000,
1570457145,2019-10-07 14:05:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,14400,9395,0,2019-10-07 13:55:22.000000000,
1570457205,2019-10-07 14:06:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,16300,9395,0,2019-10-07 13:55:22.000000000,
1570457265,2019-10-07 14:07:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,17900,9395,0,2019-10-07 13:55:22.000000000,
1570457325,2019-10-07 14:08:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,19500,9395,0,2019-10-07 13:55:22.000000000,
1570457385,2019-10-07 14:09:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,21200,9395,0,2019-10-07 13:55:22.000000000,
1570457445,2019-10-07 14:10:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,23100,9395,0,2019-10-07 13:55:22.000000000,
1570457505,2019-10-07 14:11:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,25100,9395,0,2019-10-07 13:55:22.000000000,
1570457565,2019-10-07 14:12:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,26800,9395,0,2019-10-07 13:55:22.000000000,
1570457625,2019-10-07 14:13:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,28500,9395,0,2019-10-07 13:55:22.000000000,
1570457685,2019-10-07 14:14:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,30400,9395,0,2019-10-07 13:55:22.000000000,
1570457745,2019-10-07 14:15:45.756,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,32300,9395,0,2019-10-07 13:55:22.000000000,
1570457805,2019-10-07 14:16:45.756,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,34300,9395,0,2019-10-07 13:55:22.000000000,
1570457865,2019-10-07 14:17:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,36500,9395,0,2019-10-07 13:55:22.000000000,
1570457925,2019-10-07 14:18:45.724,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,38800,9395,0,2019-10-07 13:55:22.000000000,
1570457985,2019-10-07 14:19:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,40900,9395,0,2019-10-07 13:55:22.000000000,
1570458045,2019-10-07 14:20:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,43100,9395,0,2019-10-07 13:55:22.000000000,
1570458105,2019-10-07 14:21:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,45400,9395,0,2019-10-07 13:55:22.000000000,
1570458165,2019-10-07 14:22:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,47500,9395,0,2019-10-07 13:55:22.000000000,
1570458225,2019-10-07 14:23:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,49600,9395,0,2019-10-07 13:55:22.000000000,
1570458285,2019-10-07 14:24:45.722,57.990668N 10.574541E 187m,Off,6,3.68233E0,2.218691E0,Time OK,Free running,51900,9395,0,2019-10-07 13:55:22.000000000,
1570458345,2019-10-07 14:25:45.722,57.990668N 10.574422E 179m,Doing fixes,6,2.287493E0,1.3655791E0,Time OK,Coarse lock,100,11887,-1979,2019-10-07 14:25:42.000000000,
1570458405,2019-10-07 14:26:45.722,57.990620N 10.574468E 184m,Doing fixes,6,2.2990541E0,1.3767221E0,Time OK,Fine lock,100,9413,0,2019-10-07 14:26:42.000000000,
1570458465,2019-10-07 14:27:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,100,9424,0,2019-10-07 14:27:42.000000000,
1570458525,2019-10-07 14:28:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,1000,9424,0,2019-10-07 14:27:42.000000000,
1570458585,2019-10-07 14:29:45.724,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,1900,9424,0,2019-10-07 14:27:42.000000000,
1570458645,2019-10-07 14:30:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,2800,9424,0,2019-10-07 14:27:42.000000000,
1570458705,2019-10-07 14:31:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,3600,9424,0,2019-10-07 14:27:42.000000000,
1570458765,2019-10-07 14:32:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,4500,9424,0,2019-10-07 14:27:42.000000000,
1570458825,2019-10-07 14:33:45.724,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,5500,9424,0,2019-10-07 14:27:42.000000000,
1570458885,2019-10-07 14:34:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,6300,9424,0,2019-10-07 14:27:42.000000000,
1570458945,2019-10-07 14:35:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,7300,9424,0,2019-10-07 14:27:42.000000000,
1570459005,2019-10-07 14:36:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,8800,9424,0,2019-10-07 14:27:42.000000000,
1570459065,2019-10-07 14:37:45.724,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,10200,9424,0,2019-10-07 14:27:42.000000000,
1570459125,2019-10-07 14:38:45.760,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,11500,9424,0,2019-10-07 14:27:42.000000000,
1570459185,2019-10-07 14:39:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,13000,9424,0,2019-10-07 14:27:42.000000000,
1570459245,2019-10-07 14:40:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,14400,9424,0,2019-10-07 14:27:42.000000000,
1570459305,2019-10-07 14:41:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,15600,9424,0,2019-10-07 14:27:42.000000000,
1570459365,2019-10-07 14:42:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,16900,9424,0,2019-10-07 14:27:42.000000000,
1570459425,2019-10-07 14:43:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,18100,9424,0,2019-10-07 14:27:42.000000000,
1570459485,2019-10-07 14:44:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,19300,9424,0,2019-10-07 14:27:42.000000000,
1570459545,2019-10-07 14:45:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,20800,9424,0,2019-10-07 14:27:42.000000000,
1570459605,2019-10-07 14:46:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,22300,9424,0,2019-10-07 14:27:42.000000000,
1570459665,2019-10-07 14:47:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,23800,9424,0,2019-10-07 14:27:42.000000000,
1570459725,2019-10-07 14:48:45.724,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,25500,9424,0,2019-10-07 14:27:42.000000000,
1570459785,2019-10-07 14:49:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,27200,9424,0,2019-10-07 14:27:42.000000000,
1570459845,2019-10-07 14:50:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,29000,9424,0,2019-10-07 14:27:42.000000000,
1570459905,2019-10-07 14:51:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,30700,9424,0,2019-10-07 14:27:42.000000000,
1570459965,2019-10-07 14:52:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,32400,9424,0,2019-10-07 14:27:42.000000000,
1570460025,2019-10-07 14:53:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,34400,9424,0,2019-10-07 14:27:42.000000000,
1570460085,2019-10-07 14:54:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,36200,9424,0,2019-10-07 14:27:42.000000000,
1570460145,2019-10-07 14:55:45.723,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,37900,9424,0,2019-10-07 14:27:42.000000000,
1570460205,2019-10-07 14:56:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,39600,9424,0,2019-10-07 14:27:42.000000000,
1570460265,2019-10-07 14:57:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,41200,9424,0,2019-10-07 14:27:42.000000000,
1570460325,2019-10-07 14:58:45.722,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,43000,9424,0,2019-10-07 14:27:42.000000000,
1570460385,2019-10-07 14:59:45.760,57.990624N 10.574469E 185m,Off,6,2.5053306E0,10.5979064E0,Time OK,Free running,44700,9424,0,2019-10-07 14:27:42.000000000,
