Time(longsecs),Time(UTC),External SOH Voltage 1(V),External SOH Voltage 2(V),External SOH Voltage 3(V),External SOH Voltage 4(V),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1570435245,2019-10-07 08:00:45.722,-2.4130344E-3,-1.0340214E-2,-3.7209988E-3,-3.888607E-3,3.6196423E-1,3.5609436E-1,3.6441326E-1,
1570435305,2019-10-07 08:01:45.724,-5.030632E-4,-8.172274E-3,-1.4791489E-3,-2.4559498E-3,3.6827374E-1,3.6296082E-1,3.7149525E-1,
1570435365,2019-10-07 08:02:45.722,-4.9495697E-4,-8.76689E-3,-1.8265247E-3,-2.109766E-3,3.6584473E-1,3.5945797E-1,3.674879E-1,
1570435425,2019-10-07 08:03:45.722,-2.465725E-3,-1.0513544E-2,-3.6342144E-3,-3.9684772E-3,3.6069775E-1,3.5410213E-1,3.6178303E-1,
1570435485,2019-10-07 08:04:45.722,1.6031265E-3,-5.768299E-3,4.3797493E-4,1.2588501E-4,3.7374115E-1,3.6912727E-1,3.7673855E-1,
1570435545,2019-10-07 08:05:45.722,-5.352497E-4,-7.824659E-3,-1.2133121E-3,-1.4750957E-3,3.688383E-1,3.6314106E-1,3.7057877E-1,
1570435605,2019-10-07 08:06:45.722,1.7154217E-3,-5.824566E-3,5.3167343E-4,4.1604042E-4,3.731737E-1,3.660698E-1,3.7430096E-1,
1570435665,2019-10-07 08:07:45.722,-8.671284E-4,-8.476496E-3,-1.7416477E-3,-2.2206306E-3,3.6762047E-1,3.6164856E-1,3.702078E-1,
1570435725,2019-10-07 08:08:45.722,5.722046E-6,-7.5411797E-3,-1.0206699E-3,-1.4774799E-3,3.6924648E-1,3.6328697E-1,3.7053204E-1,
1570435785,2019-10-07 08:09:45.722,-1.3422966E-4,-7.782936E-3,-1.4526844E-3,-1.3782978E-3,3.7383556E-1,3.680563E-1,3.7614632E-1,
1570435845,2019-10-07 08:10:45.722,-2.7837753E-3,-1.019454E-2,-3.293991E-3,-4.189968E-3,3.6208344E-1,3.5601425E-1,3.6566544E-1,
1570435905,2019-10-07 08:11:45.722,4.529953E-6,-7.7340603E-3,-1.0457039E-3,-1.606226E-3,3.682623E-1,3.640976E-1,3.717804E-1,
1570435965,2019-10-07 08:12:45.722,-2.729416E-3,-1.0353327E-2,-3.439188E-3,-4.467964E-3,3.6461067E-1,3.5805607E-1,3.663597E-1,
1570436025,2019-10-07 08:13:45.722,2.7656555E-5,-7.6105595E-3,-1.4948845E-3,-1.6615391E-3,3.67321E-1,3.614006E-1,3.7193203E-1,
1570436085,2019-10-07 08:14:45.722,-3.2377243E-4,-8.019924E-3,-1.2454987E-3,-1.6589165E-3,3.6793518E-1,3.6237335E-1,3.7091064E-1,
1570436145,2019-10-07 08:15:45.722,2.0058155E-3,-5.5835247E-3,6.9499016E-4,8.3208084E-5,3.7419033E-1,3.6789036E-1,3.755188E-1,
1570436205,2019-10-07 08:16:45.722,1.6553402E-3,-6.210327E-3,7.8344345E-4,4.966259E-4,3.7333393E-1,3.6999226E-1,3.752947E-1,
1570436265,2019-10-07 08:17:45.722,-2.342701E-3,-1.0031223E-2,-3.567934E-3,-3.5598278E-3,3.64254E-1,3.596754E-1,3.670225E-1,
1570436325,2019-10-07 08:18:45.722,-2.5663376E-3,-1.0000706E-2,-3.689289E-3,-3.9765835E-3,3.630724E-1,3.5788822E-1,3.6368656E-1,
1570436385,2019-10-07 08:19:45.723,-2.1197796E-3,-1.0307074E-2,-3.247738E-3,-4.2238235E-3,3.628769E-1,3.5727215E-1,3.643589E-1,
1570436445,2019-10-07 08:20:45.739,1.9228458E-3,-5.98073E-3,5.016327E-4,4.503727E-4,3.7766457E-1,3.7086296E-1,3.865013E-1,
