Time(longsecs),Time(UTC),GPS Satellite Acquisition Flag 1,GPS Satellite Acquisition Flag 2,GPS Satellite Acquisition Flag 3,GPS Satellite Acquisition Flag 4,GPS Satellite Acquisition Flag 5,GPS Satellite Acquisition Flag 6,GPS Satellite Acquisition Flag 7,GPS Satellite Acquisition Flag 8,GPS Satellite Acquisition Flag 9,GPS Satellite Acquisition Flag 10,GPS Satellite Acquisition Flag 11,GPS Satellite Acquisition Flag 12,GPS Satellite Azimuth 1(Degrees),GPS Satellite Azimuth 2(Degrees),GPS Satellite Azimuth 3(Degrees),GPS Satellite Azimuth 4(Degrees),GPS Satellite Azimuth 5(Degrees),GPS Satellite Azimuth 6(Degrees),GPS Satellite Azimuth 7(Degrees),GPS Satellite Azimuth 8(Degrees),GPS Satellite Azimuth 9(Degrees),GPS Satellite Azimuth 10(Degrees),GPS Satellite Azimuth 11(Degrees),GPS Satellite Azimuth 12(Degrees),GPS Satellite Elevation 1(Degrees),GPS Satellite Elevation 2(Degrees),GPS Satellite Elevation 3(Degrees),GPS Satellite Elevation 4(Degrees),GPS Satellite Elevation 5(Degrees),GPS Satellite Elevation 6(Degrees),GPS Satellite Elevation 7(Degrees),GPS Satellite Elevation 8(Degrees),GPS Satellite Elevation 9(Degrees),GPS Satellite Elevation 10(Degrees),GPS Satellite Elevation 11(Degrees),GPS Satellite Elevation 12(Degrees),GPS Satellite PRN 1,GPS Satellite PRN 2,GPS Satellite PRN 3,GPS Satellite PRN 4,GPS Satellite PRN 5,GPS Satellite PRN 6,GPS Satellite PRN 7,GPS Satellite PRN 8,GPS Satellite PRN 9,GPS Satellite PRN 10,GPS Satellite PRN 11,GPS Satellite PRN 12,GPS Satellite Signal Level 1(AMU),GPS Satellite Signal Level 2(AMU),GPS Satellite Signal Level 3(AMU),GPS Satellite Signal Level 4(AMU),GPS Satellite Signal Level 5(AMU),GPS Satellite Signal Level 6(AMU),GPS Satellite Signal Level 7(AMU),GPS Satellite Signal Level 8(AMU),GPS Satellite Signal Level 9(AMU),GPS Satellite Signal Level 10(AMU),GPS Satellite Signal Level 11(AMU),GPS Satellite Signal Level 12(AMU),
1570190445,2019-10-04 12:00:45.738,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,9.2954712E1,2.4819924799999998E2,1.6839923199999998E2,,6.09124E1,3.08645248E2,1.1201738399999999E2,3.1818454399999996E2,,1.84520512E2,2.6308536E2,4.1977848E1,7.6046328E1,6.641299599999999E1,1.4181372E1,,3.78567E1,3.5304524E1,4.9553608E1,1.852555E1,,2.126688E1,1.6665091E1,1.8793422E1,1,3,8,,14,17,18,19,,23,28,32,15,15,4,,2,7,10,2,,14,5,2,
1570190505,2019-10-04 12:01:45.724,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,9.2954712E1,2.4819924799999998E2,1.6839923199999998E2,,6.09124E1,3.08645248E2,1.1201738399999999E2,3.1818454399999996E2,,1.84520512E2,2.6308536E2,4.1977848E1,7.6046328E1,6.641299599999999E1,1.4181372E1,,3.78567E1,3.5304524E1,4.9553608E1,1.852555E1,,2.126688E1,1.6665091E1,1.8793422E1,1,3,8,,14,17,18,19,,23,28,32,15,15,4,,2,7,10,2,,14,5,2,
1570190565,2019-10-04 12:02:45.722,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,9.2954712E1,2.4819924799999998E2,1.6839923199999998E2,,6.09124E1,3.08645248E2,1.1201738399999999E2,3.1818454399999996E2,,1.84520512E2,2.6308536E2,4.1977848E1,7.6046328E1,6.641299599999999E1,1.4181372E1,,3.78567E1,3.5304524E1,4.9553608E1,1.852555E1,,2.126688E1,1.6665091E1,1.8793422E1,1,3,8,,14,17,18,19,,23,28,32,15,15,4,,2,7,10,2,,14,5,2,
1570190625,2019-10-04 12:03:45.722,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,9.2954712E1,2.4819924799999998E2,1.6839923199999998E2,,6.09124E1,3.08645248E2,1.1201738399999999E2,3.1818454399999996E2,,1.84520512E2,2.6308536E2,4.1977848E1,7.6046328E1,6.641299599999999E1,1.4181372E1,,3.78567E1,3.5304524E1,4.9553608E1,1.852555E1,,2.126688E1,1.6665091E1,1.8793422E1,1,3,8,,14,17,18,19,,23,28,32,15,15,4,,2,7,10,2,,14,5,2,
1570190685,2019-10-04 12:04:45.723,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,9.2954712E1,2.4819924799999998E2,1.6839923199999998E2,,6.09124E1,3.08645248E2,1.1201738399999999E2,3.1818454399999996E2,,1.84520512E2,2.6308536E2,4.1977848E1,7.6046328E1,6.641299599999999E1,1.4181372E1,,3.78567E1,3.5304524E1,4.9553608E1,1.852555E1,,2.126688E1,1.6665091E1,1.8793422E1,1,3,8,,14,17,18,19,,23,28,32,15,15,4,,2,7,10,2,,14,5,2,
1570190745,2019-10-04 12:05:45.722,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,9.2954712E1,2.4819924799999998E2,1.6839923199999998E2,,6.09124E1,3.08645248E2,1.1201738399999999E2,3.1818454399999996E2,,1.84520512E2,2.6308536E2,4.1977848E1,7.6046328E1,6.641299599999999E1,1.4181372E1,,3.78567E1,3.5304524E1,4.9553608E1,1.852555E1,,2.126688E1,1.6665091E1,1.8793422E1,1,3,8,,14,17,18,19,,23,28,32,15,15,4,,2,7,10,2,,14,5,2,
1570190805,2019-10-04 12:06:45.723,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,Acquired,,Acquired,Acquired,Acquired,9.2954712E1,2.4819924799999998E2,1.6839923199999998E2,,6.09124E1,3.08645248E2,1.1201738399999999E2,3.1818454399999996E2,,1.84520512E2,2.6308536E2,4.1977848E1,7.6046328E1,6.641299599999999E1,1.4181372E1,,3.78567E1,3.5304524E1,4.9553608E1,1.852555E1,,2.126688E1,1.6665091E1,1.8793422E1,1,3,8,,14,17,18,19,,23,28,32,15,15,4,,2,7,10,2,,14,5,2,
1570190865,2019-10-04 12:07:45.722,Acquired,Acquired,,Acquired,Acquired,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,9.4058048E1,2.48699424E2,,1.54072608E2,6.0465308E1,3.08355232E2,1.12348232E2,3.18057824E2,2.9653782E1,1.8449375999999998E2,2.62737904E2,4.1783688E1,7.5649744E1,6.6851112E1,,6.2206148E1,3.7649032E1,3.5627868E1,4.9126936E1,1.8904647999999998E1,8.8380568E1,2.1698954E1,1.6391666999999998E1,1.8461046E1,1,3,,11,14,17,18,19,22,23,28,32,14,15,,14,3,6,9,1,12,15,3,2,
1570190925,2019-10-04 12:08:45.722,Acquired,Acquired,Acquired,Not acquired,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Not acquired,Acquired,1.20958688E2,3.18816576E2,1.5548612799999998E2,4.6004804E1,2.8732179199999996E2,1.2510566399999999E2,3.0664108799999997E2,6.663006E1,1.8298726399999998E2,7.042008E1,3.0162582399999997E2,2.0115155199999998E2,5.591654E1,8.3927296E1,3.9986892E1,2.4483292E1,4.6610884E1,2.9842927999999997E1,3.4840924E1,6.8548008E1,4.239346E1,1.7237136E1,1.1419115E1,1.1930239E1,1,3,11,14,17,18,19,22,23,31,6,9,13,15,11,0,6,3,1,15,15,2,0,1,
1570190985,2019-10-04 12:09:45.722,Acquired,Acquired,Acquired,Not acquired,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Not acquired,Acquired,1.20958688E2,3.18816576E2,1.5548612799999998E2,4.6004804E1,2.8732179199999996E2,1.2510566399999999E2,3.0664108799999997E2,6.663006E1,1.8298726399999998E2,7.042008E1,3.0162582399999997E2,2.0115155199999998E2,5.591654E1,8.3927296E1,3.9986892E1,2.4483292E1,4.6610884E1,2.9842927999999997E1,3.4840924E1,6.8548008E1,4.239346E1,1.7237136E1,1.1419115E1,1.1930239E1,1,3,11,14,17,18,19,22,23,31,6,9,13,15,11,0,6,3,1,15,15,2,0,1,
