Time(longsecs),Time(UTC),External SOH Voltage 1(V),External SOH Voltage 2(V),External SOH Voltage 3(V),External SOH Voltage 4(V),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1570226445,2019-10-04 22:00:45.724,-1.9264221E-4,-8.101702E-3,-9.953976E-4,-1.6641617E-3,3.6960125E-1,3.6528683E-1,3.7383556E-1,
1570226505,2019-10-04 22:01:45.722,-5.347729E-4,-8.6352825E-3,-1.5690327E-3,-2.0480156E-3,3.680029E-1,3.622265E-1,3.6862278E-1,
1570226565,2019-10-04 22:02:45.722,-2.5234222E-3,-9.912491E-3,-3.5541058E-3,-4.0106773E-3,3.6199856E-1,3.5681725E-1,3.6536694E-1,
1570226625,2019-10-04 22:03:45.722,-2.5639534E-3,-1.0395527E-2,-3.4222603E-3,-3.8218498E-3,3.6435127E-1,3.5657978E-1,3.6558533E-1,
1570226685,2019-10-04 22:04:45.722,-2.88105E-3,-1.0215759E-2,-3.1673908E-3,-4.214287E-3,3.5992622E-1,3.544073E-1,3.6234856E-1,
1570226745,2019-10-04 22:05:45.722,-9.365082E-4,-7.973194E-3,-1.4164448E-3,-2.2420883E-3,3.666067E-1,3.6106205E-1,3.698988E-1,
1570226805,2019-10-04 22:06:45.722,1.6553402E-3,-6.103754E-3,6.158352E-4,7.402897E-4,3.7458515E-1,3.6809635E-1,3.7701416E-1,
1570226865,2019-10-04 22:07:45.722,2.1028519E-4,-7.823467E-3,-1.2459755E-3,-1.3437271E-3,3.6831474E-1,3.623171E-1,3.7085438E-1,
1570226925,2019-10-04 22:08:45.722,2.1457672E-6,-7.6406E-3,-1.3096333E-3,-2.1140575E-3,3.697729E-1,3.6417484E-1,3.7232018E-1,
1570226985,2019-10-04 22:09:45.722,-1.8692017E-4,-7.879496E-3,-1.5997887E-3,-1.8796921E-3,3.6642265E-1,3.6143684E-1,3.687029E-1,
1570227045,2019-10-04 22:10:45.722,-2.3252964E-3,-9.788513E-3,-3.2114983E-3,-3.857851E-3,3.5854435E-1,3.520317E-1,3.5988522E-1,
1570227105,2019-10-04 22:11:45.724,-2.837181E-4,-7.514477E-3,-1.4271736E-3,-1.7819405E-3,3.678465E-1,3.6328793E-1,3.7268066E-1,
1570227165,2019-10-04 22:12:45.722,-5.2285194E-4,-8.856535E-3,-2.6648045E-3,-2.2940636E-3,3.6362267E-1,3.5892296E-1,3.663063E-1,
1570227225,2019-10-04 22:13:45.722,1.6820431E-3,-5.8305264E-3,6.353855E-4,2.5987625E-5,3.734665E-1,3.6810207E-1,3.7647057E-1,
1570227285,2019-10-04 22:14:45.722,1.5990734E-3,-5.962372E-3,6.816387E-4,1.9955635E-4,3.7416553E-1,3.6888504E-1,3.7561703E-1,
1570227345,2019-10-04 22:15:45.724,-3.2901764E-4,-7.742405E-3,-1.4064312E-3,-2.0215511E-3,3.678875E-1,3.6118793E-1,3.7272453E-1,
1570227405,2019-10-04 22:16:45.722,-2.5277138E-3,-1.00159645E-2,-4.137039E-3,-4.455805E-3,3.618145E-1,3.552103E-1,3.653803E-1,
1570227465,2019-10-04 22:17:45.724,1.6748905E-3,-5.611658E-3,6.380081E-4,1.7547607E-4,3.7490177E-1,3.6845207E-1,3.750887E-1,
1570227525,2019-10-04 22:18:45.722,-8.368492E-5,-7.906914E-3,-1.6651154E-3,-1.3179779E-3,3.6670017E-1,3.62772E-1,3.698902E-1,
1570227585,2019-10-04 22:19:45.722,-2.3179054E-3,-1.0657549E-2,-3.8294792E-3,-4.3091774E-3,3.618679E-1,3.5557365E-1,3.6294556E-1,
1570227645,2019-10-04 22:20:45.722,1.7514229E-3,-6.4857006E-3,2.3388863E-4,1.680851E-4,3.7391853E-1,3.6852074E-1,3.756199E-1,
1570227705,2019-10-04 22:21:45.722,-2.445221E-3,-1.0009766E-2,-3.6420822E-3,-3.9396286E-3,3.585596E-1,3.5235596E-1,3.6257076E-1,
1570227765,2019-10-04 22:22:45.722,1.4278889E-3,-5.8591366E-3,6.74963E-4,2.6130676E-4,3.7477398E-1,3.6982155E-1,3.788128E-1,
1570227825,2019-10-04 22:23:45.722,-2.6242733E-3,-1.0940313E-2,-3.339529E-3,-3.9520264E-3,3.5951805E-1,3.5401154E-1,3.6347485E-1,
1570227885,2019-10-04 22:24:45.722,-3.0755997E-4,-7.3263645E-3,-1.4486313E-3,-1.4982224E-3,3.6895084E-1,3.6283493E-1,3.710661E-1,
1570227945,2019-10-04 22:25:45.722,-6.198883E-6,-7.793188E-3,-1.1537075E-3,-1.572609E-3,3.659296E-1,3.6074448E-1,3.6912727E-1,
1570228005,2019-10-04 22:26:45.722,-4.4107437E-4,-7.935762E-3,-1.2817383E-3,-1.5039444E-3,3.6673927E-1,3.6040592E-1,3.6824322E-1,
1570228065,2019-10-04 22:27:45.722,-2.0229816E-3,-1.0360241E-2,-3.5264492E-3,-3.6871433E-3,3.5960484E-1,3.548355E-1,3.6328983E-1,
1570228125,2019-10-04 22:28:45.722,-5.6505203E-4,-7.894754E-3,-1.3654232E-3,-1.3098717E-3,3.6812496E-1,3.6260128E-1,3.707943E-1,
1570228185,2019-10-04 22:29:45.723,1.4662743E-4,-8.520126E-3,-1.2893677E-3,-1.4164448E-3,3.678789E-1,3.6335087E-1,3.716259E-1,
1570228245,2019-10-04 22:30:45.751,-2.4135113E-3,-1.0220289E-2,-3.5426617E-3,-3.878355E-3,3.616686E-1,3.559208E-1,3.6659527E-1,
1570228305,2019-10-04 22:31:45.722,-9.7227097E-4,-8.378267E-3,-1.7962456E-3,-1.9686222E-3,3.6775208E-1,3.6222363E-1,3.7076378E-1,
1570228365,2019-10-04 22:32:45.722,-2.7928352E-3,-1.0067463E-2,-3.5443306E-3,-4.1878223E-3,3.590374E-1,3.5330105E-1,3.625574E-1,
1570228425,2019-10-04 22:33:45.722,1.7147064E-3,-6.4663887E-3,7.686615E-4,2.193451E-4,3.7360668E-1,3.686409E-1,3.7692833E-1,
1570228485,2019-10-04 22:34:45.722,-2.2659302E-3,-1.0197401E-2,-3.8027763E-3,-4.1873455E-3,3.6097908E-1,3.5610008E-1,3.636179E-1,
1570228545,2019-10-04 22:35:45.722,6.41346E-5,-7.6038837E-3,-8.523464E-4,-1.4162064E-3,3.6967182E-1,3.643093E-1,3.721304E-1,
1570228605,2019-10-04 22:36:45.722,1.3923645E-4,-7.889032E-3,-1.3239384E-3,-1.6112328E-3,3.7118053E-1,3.6506367E-1,3.7322426E-1,
1570228665,2019-10-04 22:37:45.723,4.673004E-5,-7.514E-3,-1.2156963E-3,-1.8322468E-3,3.6852074E-1,3.6240005E-1,3.7212658E-1,
1570228725,2019-10-04 22:38:45.722,1.5356541E-3,-6.266594E-3,3.3164024E-4,2.4580956E-4,3.7568665E-1,3.697548E-1,3.775549E-1,
1570228785,2019-10-04 22:39:45.722,1.5876293E-3,-5.7883263E-3,6.585121E-4,7.510185E-5,3.730526E-1,3.6838627E-1,3.7611103E-1,
1570228845,2019-10-04 22:40:45.722,1.7426014E-3,-6.1383247E-3,6.685257E-4,3.9434433E-4,3.693676E-1,3.641863E-1,3.7351513E-1,
1570228905,2019-10-04 22:41:45.722,-4.3940544E-4,-8.1932545E-3,-1.708746E-3,-1.9669533E-3,3.6827374E-1,3.6244678E-1,3.698492E-1,
1570228965,2019-10-04 22:42:45.722,-3.1805038E-4,-7.910013E-3,-1.352787E-3,-1.4915466E-3,3.6783218E-1,3.6254692E-1,3.7088776E-1,
1570229025,2019-10-04 22:43:45.722,1.9655228E-3,-5.5770874E-3,9.3102455E-4,-7.6293945E-6,3.7444592E-1,3.6882782E-1,3.7494564E-1,
1570229085,2019-10-04 22:44:45.722,-2.7124882E-3,-1.0291338E-2,-3.6945343E-3,-3.995657E-3,3.6253834E-1,3.56781E-1,3.650446E-1,
1570229145,2019-10-04 22:45:45.722,-2.7308464E-3,-1.0092258E-2,-3.651619E-3,-4.023552E-3,3.6100006E-1,3.5627747E-1,3.6400127E-1,
1570229205,2019-10-04 22:46:45.722,1.857996E-3,-5.959749E-3,4.8851967E-4,5.042553E-4,3.7392902E-1,3.6806965E-1,3.764143E-1,
1570229265,2019-10-04 22:47:45.722,-2.5293827E-3,-1.0019302E-2,-3.3915043E-3,-4.0466785E-3,3.6195755E-1,3.5605907E-1,3.6419392E-1,
1570229325,2019-10-04 22:48:45.724,-2.761364E-3,-1.0000706E-2,-3.2923222E-3,-3.7333965E-3,3.5937023E-1,3.5259056E-1,3.6270618E-1,
1570229385,2019-10-04 22:49:45.722,-1.9836426E-4,-7.7536106E-3,-1.1546612E-3,-2.0406246E-3,3.6806965E-1,3.634529E-1,3.7043858E-1,
1570229445,2019-10-04 22:50:45.756,5.9127808E-5,-7.4965954E-3,-1.2645721E-3,-1.7366409E-3,3.6568165E-1,3.6096764E-1,3.6932468E-1,
1570229505,2019-10-04 22:51:45.722,1.303196E-3,-6.079912E-3,6.7448616E-4,2.1839142E-4,3.7373638E-1,3.676262E-1,3.7622356E-1,
1570229565,2019-10-04 22:52:45.722,-2.7749538E-3,-1.012969E-2,-3.6728382E-3,-4.0881634E-3,3.6219978E-1,3.5600758E-1,3.6345768E-1,
1570229625,2019-10-04 22:53:45.724,1.557827E-3,-5.7747364E-3,7.238388E-4,3.2019615E-4,3.7238026E-1,3.6620522E-1,3.7549973E-1,
1570229685,2019-10-04 22:54:45.722,-2.5262833E-3,-1.0599852E-2,-3.4780502E-3,-4.378557E-3,3.605957E-1,3.573599E-1,3.6222744E-1,
1570229745,2019-10-04 22:55:45.732,-1.3422966E-4,-7.673979E-3,-1.6374588E-3,-1.5285015E-3,3.669014E-1,3.623724E-1,3.683815E-1,
1570229805,2019-10-04 22:56:45.722,2.0375252E-3,-5.7985783E-3,1.1613369E-3,1.7738342E-4,3.7298012E-1,3.670702E-1,3.755207E-1,
1570229865,2019-10-04 22:57:45.722,-5.347729E-4,-8.596182E-3,-1.9042492E-3,-2.0320415E-3,3.6852932E-1,3.629322E-1,3.6841106E-1,
1570229925,2019-10-04 22:58:45.722,-2.2816658E-4,-7.5075626E-3,-1.6357899E-3,-1.1637211E-3,3.6797047E-1,3.6326027E-1,3.7219906E-1,
1570229985,2019-10-04 22:59:45.723,-2.34437E-3,-1.0048628E-2,-3.6242008E-3,-4.236698E-3,3.624401E-1,3.5612297E-1,3.627205E-1,
