Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570212000,2019-10-04 18:00:00.000,57.977879N 10.547308E 183m,Off,7,Time OK,Free running,45400,8608,90,0,
1570212300,2019-10-04 18:05:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,500,8606,90,0,
1570212600,2019-10-04 18:10:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,9900,8606,90,0,
1570212900,2019-10-04 18:15:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,21700,8606,90,0,
1570213200,2019-10-04 18:20:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,36200,8606,90,0,
1570213500,2019-10-04 18:25:00.000,57.977879N 10.547308E 183m,GNSS locked,9,Time OK,Coarse lock,18500,8110,90,17291,
1570213800,2019-10-04 18:30:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,4400,8590,90,0,
1570214100,2019-10-04 18:35:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,14400,8590,90,0,
1570214400,2019-10-04 18:40:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,27100,8590,90,0,
1570214700,2019-10-04 18:45:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,42500,8590,90,0,
1570215000,2019-10-04 18:50:00.000,57.977879N 10.547308E 183m,GNSS locked,8,Time OK,Fine lock,700,8594,100,-625,
1570215300,2019-10-04 18:55:00.000,57.977879N 10.547308E 183m,Off,7,Time OK,Free running,6000,8589,90,0,
