Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570626000,2019-10-09 13:00:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,45700,8630,90,0,
1570626300,2019-10-09 13:05:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,400,8631,90,0,
1570626600,2019-10-09 13:10:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,9100,8631,90,0,
1570626900,2019-10-09 13:15:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,17800,8631,90,0,
1570627200,2019-10-09 13:20:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,26800,8631,90,0,
1570627500,2019-10-09 13:25:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,37000,8631,90,0,
1570627800,2019-10-09 13:30:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,48100,8631,90,0,
1570628100,2019-10-09 13:35:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,2300,8638,90,0,
1570628400,2019-10-09 13:40:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,11200,8638,90,0,
1570628700,2019-10-09 13:45:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,21900,8638,90,0,
1570629000,2019-10-09 13:50:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,34300,8638,90,0,
1570629300,2019-10-09 13:55:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,48500,8638,90,0,
