Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570251600,2019-10-05 05:00:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,44600,8570,90,0,
1570251900,2019-10-05 05:05:00.000,57.977879N 10.547308E 183m,GNSS locked,8,Time OK,Coarse lock,200,8556,90,104,
1570252200,2019-10-05 05:10:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,6300,8563,90,0,
1570252500,2019-10-05 05:15:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,15200,8563,90,0,
1570252800,2019-10-05 05:20:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,23900,8563,90,0,
1570253100,2019-10-05 05:25:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,32500,8563,90,0,
1570253400,2019-10-05 05:30:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,41400,8563,90,0,
1570253700,2019-10-05 05:35:00.000,57.977879N 10.547308E 183m,GNSS unlocked,0,GNSS antenna shorted,Free running,50400,8563,90,0,
1570254000,2019-10-05 05:40:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,2900,8564,90,0,
1570254300,2019-10-05 05:45:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,11400,8564,90,0,
1570254600,2019-10-05 05:50:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,19900,8564,90,0,
1570254900,2019-10-05 05:55:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,28900,8564,90,0,
