Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570309200,2019-10-05 21:00:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,48400,8580,90,0,
1570309500,2019-10-05 21:05:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,2400,8580,90,0,
1570309800,2019-10-05 21:10:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,10900,8580,90,0,
1570310100,2019-10-05 21:15:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,19400,8580,90,0,
1570310400,2019-10-05 21:20:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,28700,8580,90,0,
1570310700,2019-10-05 21:25:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,39100,8580,90,0,
1570311000,2019-10-05 21:30:00.000,57.977879N 10.547308E 183m,GNSS unlocked,10,Time OK,Free running,50500,8580,90,0,
1570311300,2019-10-05 21:35:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,3800,8587,90,0,
1570311600,2019-10-05 21:40:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,12700,8587,90,0,
1570311900,2019-10-05 21:45:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,21100,8587,90,0,
1570312200,2019-10-05 21:50:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,30000,8587,90,0,
1570312500,2019-10-05 21:55:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,39700,8587,90,0,
