Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570147200,2019-10-04 00:00:00.000,,,,465320,466219,464780,
1570147200,2019-10-04 00:00:00.000,27726,,,,,,
1570149000,2019-10-04 00:30:00.000,,,,465296,466235,464798,
1570147500,2019-10-04 00:05:00.000,29444,,,,,,
1570147800,2019-10-04 00:10:00.000,28378,,,,,,
1570148100,2019-10-04 00:15:00.000,28495,,,,,,
1570148400,2019-10-04 00:20:00.000,28280,,,,,,
1570148700,2019-10-04 00:25:00.000,28474,,,,,,
1570149000,2019-10-04 00:30:00.000,28651,,,,,,
1570149300,2019-10-04 00:35:00.000,29429,,,,,,
1570149600,2019-10-04 00:40:00.000,30686,,,,,,
1570149900,2019-10-04 00:45:00.000,29291,,,,,,
1570150200,2019-10-04 00:50:00.000,27385,,,,,,
1570150500,2019-10-04 00:55:00.000,28572,,,,,,
