Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570071600,2019-10-03 03:00:00.000,,,,465374,466322,464878,
1570071600,2019-10-03 03:00:00.000,30569,,,,,,
1570073400,2019-10-03 03:30:00.000,,,,465374,466335,464871,
1570071900,2019-10-03 03:05:00.000,34465,,,,,,
1570072200,2019-10-03 03:10:00.000,30428,,,,,,
1570072500,2019-10-03 03:15:00.000,30378,,,,,,
1570072800,2019-10-03 03:20:00.000,34398,,,,,,
1570073100,2019-10-03 03:25:00.000,30371,,,,,,
1570073400,2019-10-03 03:30:00.000,30172,,,,,,
1570073700,2019-10-03 03:35:00.000,30275,,,,,,
1570074000,2019-10-03 03:40:00.000,34685,,,,,,
1570074300,2019-10-03 03:45:00.000,30340,,,,,,
1570074600,2019-10-03 03:50:00.000,30531,,,,,,
1570074900,2019-10-03 03:55:00.000,30275,,,,,,
