Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570647600,2019-10-09 19:00:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,12000,8582,90,0,
1570647900,2019-10-09 19:05:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,24800,8582,90,0,
1570648200,2019-10-09 19:10:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,40800,8582,90,0,
1570648500,2019-10-09 19:15:00.000,57.977879N 10.547308E 183m,GNSS locked,10,Time OK,Fine lock,600,8573,100,-520,
1570648800,2019-10-09 19:20:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,8100,8581,90,0,
1570649100,2019-10-09 19:25:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,19900,8581,90,0,
1570649400,2019-10-09 19:30:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,34500,8581,90,0,
1570649700,2019-10-09 19:35:00.000,57.977879N 10.547308E 183m,GNSS unlocked,0,Time OK,Free running,51500,8581,90,0,
1570650000,2019-10-09 19:40:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,3300,8565,90,0,
1570650300,2019-10-09 19:45:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,13000,8565,90,0,
1570650600,2019-10-09 19:50:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,25200,8565,90,0,
1570650900,2019-10-09 19:55:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,39900,8565,90,0,
