Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570338000,2019-10-06 05:00:00.000,,,,465274,466196,464760,
1570338000,2019-10-06 05:00:00.000,28596,,,,,,
1570339800,2019-10-06 05:30:00.000,,,,465296,466208,464770,
1570338300,2019-10-06 05:05:00.000,26857,,,,,,
1570338600,2019-10-06 05:10:00.000,26613,,,,,,
1570338900,2019-10-06 05:15:00.000,24444,,,,,,
1570339200,2019-10-06 05:20:00.000,26510,,,,,,
1570339500,2019-10-06 05:25:00.000,26448,,,,,,
1570339800,2019-10-06 05:30:00.000,30550,,,,,,
1570340100,2019-10-06 05:35:00.000,26699,,,,,,
1570340400,2019-10-06 05:40:00.000,26690,,,,,,
1570340700,2019-10-06 05:45:00.000,26429,,,,,,
1570341000,2019-10-06 05:50:00.000,28467,,,,,,
1570341300,2019-10-06 05:55:00.000,26477,,,,,,
