Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1569949200,2019-10-01 17:00:00.000,,,,465174,466030,464632,
1569949200,2019-10-01 17:00:00.000,-27243,,,,,,
1569951000,2019-10-01 17:30:00.000,,,,465187,466041,464631,
1569949500,2019-10-01 17:05:00.000,16719,,,,,,
1569949800,2019-10-01 17:10:00.000,19007,,,,,,
1569950100,2019-10-01 17:15:00.000,19194,,,,,,
1569950400,2019-10-01 17:20:00.000,16908,,,,,,
1569950700,2019-10-01 17:25:00.000,16800,,,,,,
1569951000,2019-10-01 17:30:00.000,18783,,,,,,
1569951300,2019-10-01 17:35:00.000,16786,,,,,,
1569951600,2019-10-01 17:40:00.000,-21445,,,,,,
1569951900,2019-10-01 17:45:00.000,16654,,,,,,
1569952200,2019-10-01 17:50:00.000,16504,,,,,,
1569952500,2019-10-01 17:55:00.000,18766,,,,,,
