Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570399200,2019-10-06 22:00:00.000,,,,465288,466199,464735,
1570399200,2019-10-06 22:00:00.000,24568,,,,,,
1570401000,2019-10-06 22:30:00.000,,,,465283,466190,464768,
1570399500,2019-10-06 22:05:00.000,24370,,,,,,
1570399800,2019-10-06 22:10:00.000,24501,,,,,,
1570400100,2019-10-06 22:15:00.000,20742,,,,,,
1570400400,2019-10-06 22:20:00.000,26360,,,,,,
1570400700,2019-10-06 22:25:00.000,24810,,,,,,
1570401000,2019-10-06 22:30:00.000,26790,,,,,,
1570401300,2019-10-06 22:35:00.000,24425,,,,,,
1570401600,2019-10-06 22:40:00.000,24724,,,,,,
1570401900,2019-10-06 22:45:00.000,24688,,,,,,
1570402200,2019-10-06 22:50:00.000,26458,,,,,,
1570402500,2019-10-06 22:55:00.000,24294,,,,,,
