Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570536000,2019-10-08 12:00:00.000,,,,465233,466120,464697,
1570536000,2019-10-08 12:00:00.000,28283,,,,,,
1570537800,2019-10-08 12:30:00.000,,,,465243,466107,464690,
1570536300,2019-10-08 12:05:00.000,28464,,,,,,
1570536600,2019-10-08 12:10:00.000,30113,,,,,,
1570536900,2019-10-08 12:15:00.000,28677,,,,,,
1570537200,2019-10-08 12:20:00.000,28125,,,,,,
1570537500,2019-10-08 12:25:00.000,30093,,,,,,
1570537800,2019-10-08 12:30:00.000,-20182,,,,,,
1570538100,2019-10-08 12:35:00.000,30404,,,,,,
1570538400,2019-10-08 12:40:00.000,30679,,,,,,
1570538700,2019-10-08 12:45:00.000,28598,,,,,,
1570539000,2019-10-08 12:50:00.000,28687,,,,,,
1570539300,2019-10-08 12:55:00.000,28455,,,,,,
