Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570057200,2019-10-02 23:00:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,36000,8539,90,0,
1570057500,2019-10-02 23:05:00.000,57.977879N 10.547308E 183m,GNSS unlocked,0,Time OK,Free running,50700,8539,90,0,
1570057800,2019-10-02 23:10:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,5900,8539,90,0,
1570058100,2019-10-02 23:15:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,15900,8539,90,0,
1570058400,2019-10-02 23:20:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,27700,8539,90,0,
1570058700,2019-10-02 23:25:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,41300,8539,90,0,
1570059000,2019-10-02 23:30:00.000,57.977879N 10.547308E 183m,GNSS locked,10,Time OK,Fine lock,300,8525,100,104,
1570059300,2019-10-02 23:35:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,7000,8539,90,0,
1570059600,2019-10-02 23:40:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,16300,8539,90,0,
1570059900,2019-10-02 23:45:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,27200,8539,90,0,
1570060200,2019-10-02 23:50:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,39900,8539,90,0,
1570060500,2019-10-02 23:55:00.000,57.977879N 10.547308E 183m,GNSS locked,10,Time OK,Coarse lock,2200,8472,90,2187,
