Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570129200,2019-10-03 19:00:00.000,57.977879N 10.547308E 183m,GNSS locked,8,Time OK,Fine lock,300,8588,100,-312,
1570129500,2019-10-03 19:05:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,9700,8587,90,0,
1570129800,2019-10-03 19:10:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,24300,8587,90,0,
1570130100,2019-10-03 19:15:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,43900,8587,90,0,
1570130400,2019-10-03 19:20:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,800,8579,90,0,
1570130700,2019-10-03 19:25:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,10500,8579,90,0,
1570131000,2019-10-03 19:30:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,24100,8579,90,0,
1570131300,2019-10-03 19:35:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,41700,8579,90,0,
1570131600,2019-10-03 19:40:00.000,57.977879N 10.547308E 183m,GNSS locked,10,Time OK,Fine lock,300,8571,100,-208,
1570131900,2019-10-03 19:45:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,9100,8573,90,0,
1570132200,2019-10-03 19:50:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,21800,8573,90,0,
1570132500,2019-10-03 19:55:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,37200,8573,90,0,
