Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1569999600,2019-10-02 07:00:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,5900,8576,90,0,
1569999900,2019-10-02 07:05:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,14900,8576,90,0,
1570000200,2019-10-02 07:10:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,23800,8576,90,0,
1570000500,2019-10-02 07:15:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,32400,8576,90,0,
1570000800,2019-10-02 07:20:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,41100,8576,90,0,
1570001100,2019-10-02 07:25:00.000,57.977879N 10.547308E 183m,GNSS unlocked,0,GNSS antenna shorted,Free running,50500,8576,90,0,
1570001400,2019-10-02 07:30:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,4000,8577,90,0,
1570001700,2019-10-02 07:35:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,14400,8577,90,0,
1570002000,2019-10-02 07:40:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,25700,8577,90,0,
1570002300,2019-10-02 07:45:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,38600,8577,90,0,
1570002600,2019-10-02 07:50:00.000,57.977879N 10.547308E 183m,GNSS unlocked,0,Time OK,Free running,52100,8577,90,0,
1570002900,2019-10-02 07:55:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,4600,8568,90,0,
