Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570176000,2019-10-04 08:00:00.000,,,,465295,466193,464762,
1570176000,2019-10-04 08:00:00.000,33314,,,,,,
1570177800,2019-10-04 08:30:00.000,,,,465275,466176,464742,
1570176300,2019-10-04 08:05:00.000,30325,,,,,,
1570176600,2019-10-04 08:10:00.000,29370,,,,,,
1570176900,2019-10-04 08:15:00.000,29167,,,,,,
1570177200,2019-10-04 08:20:00.000,29363,,,,,,
1570177500,2019-10-04 08:25:00.000,59575,,,,,,
1570177800,2019-10-04 08:30:00.000,33411,,,,,,
1570178100,2019-10-04 08:35:00.000,29544,,,,,,
1570178400,2019-10-04 08:40:00.000,30626,,,,,,
1570178700,2019-10-04 08:45:00.000,30540,,,,,,
1570179000,2019-10-04 08:50:00.000,33722,,,,,,
1570179300,2019-10-04 08:55:00.000,29618,,,,,,
