Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570449600,2019-10-07 12:00:00.000,,,,465187,466053,464661,
1570449600,2019-10-07 12:00:00.000,29446,,,,,,
1570451400,2019-10-07 12:30:00.000,,,,465184,466026,464625,
1570449900,2019-10-07 12:05:00.000,25397,,,,,,
1570450200,2019-10-07 12:10:00.000,29618,,,,,,
1570450500,2019-10-07 12:15:00.000,30920,,,,,,
1570450800,2019-10-07 12:20:00.000,28304,,,,,,
1570451100,2019-10-07 12:25:00.000,29845,,,,,,
1570451400,2019-10-07 12:30:00.000,28526,,,,,,
1570451700,2019-10-07 12:35:00.000,28343,,,,,,
1570452000,2019-10-07 12:40:00.000,29656,,,,,,
1570452300,2019-10-07 12:45:00.000,68371,,,,,,
1570452600,2019-10-07 12:50:00.000,28703,,,,,,
1570452900,2019-10-07 12:55:00.000,29788,,,,,,
