Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570125600,2019-10-03 18:00:00.000,,,,465193,466057,464624,
1570125600,2019-10-03 18:00:00.000,30507,,,,,,
1570127400,2019-10-03 18:30:00.000,,,,465238,466127,464679,
1570125900,2019-10-03 18:05:00.000,27088,,,,,,
1570126200,2019-10-03 18:10:00.000,26537,,,,,,
1570126500,2019-10-03 18:15:00.000,26534,,,,,,
1570126800,2019-10-03 18:20:00.000,28407,,,,,,
1570127100,2019-10-03 18:25:00.000,26615,,,,,,
1570127400,2019-10-03 18:30:00.000,26422,,,,,,
1570127700,2019-10-03 18:35:00.000,28340,,,,,,
1570128000,2019-10-03 18:40:00.000,26816,,,,,,
1570128300,2019-10-03 18:45:00.000,28474,,,,,,
1570128600,2019-10-03 18:50:00.000,26575,,,,,,
1570128900,2019-10-03 18:55:00.000,26432,,,,,,
