Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570136400,2019-10-03 21:00:00.000,,,,465294,466205,464770,
1570136400,2019-10-03 21:00:00.000,30452,,,,,,
1570138200,2019-10-03 21:30:00.000,,,,465294,466213,464790,
1570136700,2019-10-03 21:05:00.000,28278,,,,,,
1570137000,2019-10-03 21:10:00.000,26539,,,,,,
1570137300,2019-10-03 21:15:00.000,28534,,,,,,
1570137600,2019-10-03 21:20:00.000,28531,,,,,,
1570137900,2019-10-03 21:25:00.000,26549,,,,,,
1570138200,2019-10-03 21:30:00.000,28209,,,,,,
1570138500,2019-10-03 21:35:00.000,28362,,,,,,
1570138800,2019-10-03 21:40:00.000,26455,,,,,,
1570139100,2019-10-03 21:45:00.000,-14460,,,,,,
1570139400,2019-10-03 21:50:00.000,28065,,,,,,
1570139700,2019-10-03 21:55:00.000,28206,,,,,,
