Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570100400,2019-10-03 11:00:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,14000,8603,90,0,
1570100700,2019-10-03 11:05:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,28100,8603,90,0,
1570101000,2019-10-03 11:10:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,44800,8603,90,0,
1570101300,2019-10-03 11:15:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,500,8607,90,0,
1570101600,2019-10-03 11:20:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,10300,8607,90,0,
1570101900,2019-10-03 11:25:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,22200,8607,90,0,
1570102200,2019-10-03 11:30:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,36000,8607,90,0,
1570102500,2019-10-03 11:35:00.000,57.977879N 10.547308E 183m,GNSS unlocked,0,Time OK,Free running,51000,8607,90,0,
1570102800,2019-10-03 11:40:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,3000,8619,90,0,
1570103100,2019-10-03 11:45:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,12700,8619,90,0,
1570103400,2019-10-03 11:50:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,23600,8619,90,0,
1570103700,2019-10-03 11:55:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,34700,8619,90,0,
