Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1569924000,2019-10-01 10:00:00.000,,,,465192,466058,464637,
1569924000,2019-10-01 10:00:00.000,18668,,,,,,
1569925800,2019-10-01 10:30:00.000,,,,465195,466050,464628,
1569924300,2019-10-01 10:05:00.000,20744,,,,,,
1569924600,2019-10-01 10:10:00.000,20651,,,,,,
1569924900,2019-10-01 10:15:00.000,16638,,,,,,
1569925200,2019-10-01 10:20:00.000,20713,,,,,,
1569925500,2019-10-01 10:25:00.000,20670,,,,,,
1569925800,2019-10-01 10:30:00.000,24578,,,,,,
1569926100,2019-10-01 10:35:00.000,20820,,,,,,
1569926400,2019-10-01 10:40:00.000,16874,,,,,,
1569926700,2019-10-01 10:45:00.000,18900,,,,,,
1569927000,2019-10-01 10:50:00.000,20684,,,,,,
1569927300,2019-10-01 10:55:00.000,20806,,,,,,
