Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570014000,2019-10-02 11:00:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,15900,8632,90,0,
1570014300,2019-10-02 11:05:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,31000,8632,90,0,
1570014600,2019-10-02 11:10:00.000,57.977879N 10.547308E 183m,GNSS unlocked,10,Time OK,Free running,50700,8632,90,0,
1570014900,2019-10-02 11:15:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,3300,8646,90,0,
1570015200,2019-10-02 11:20:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,15200,8646,90,0,
1570015500,2019-10-02 11:25:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,30300,8646,90,0,
1570015800,2019-10-02 11:30:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,47400,8646,90,0,
1570016100,2019-10-02 11:35:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,2300,8640,90,0,
1570016400,2019-10-02 11:40:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,13300,8640,90,0,
1570016700,2019-10-02 11:45:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,26900,8640,90,0,
1570017000,2019-10-02 11:50:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,43700,8640,90,0,
1570017300,2019-10-02 11:55:00.000,57.977879N 10.547308E 183m,GNSS locked,10,Time OK,Fine lock,300,8646,100,208,
