Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570377600,2019-10-06 16:00:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,9500,8686,90,0,
1570377900,2019-10-06 16:05:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,24300,8686,90,0,
1570378200,2019-10-06 16:10:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,44500,8686,90,0,
1570378500,2019-10-06 16:15:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,700,8673,90,0,
1570378800,2019-10-06 16:20:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,12200,8673,90,0,
1570379100,2019-10-06 16:25:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,28800,8673,90,0,
1570379400,2019-10-06 16:30:00.000,57.977879N 10.547308E 183m,GNSS unlocked,0,Time OK,Free running,51200,8673,90,0,
1570379700,2019-10-06 16:35:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,4200,8677,90,0,
1570380000,2019-10-06 16:40:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,17600,8677,90,0,
1570380300,2019-10-06 16:45:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,36400,8677,90,0,
1570380600,2019-10-06 16:50:00.000,57.977879N 10.547308E 183m,GNSS locked,10,Time OK,Fine lock,200,8665,100,-104,
1570380900,2019-10-06 16:55:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,8600,8672,90,0,
