Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570309200,2019-10-05 21:00:00.000,,,,465280,466168,464711,
1570309200,2019-10-05 21:00:00.000,28412,,,,,,
1570311000,2019-10-05 21:30:00.000,,,,465271,466149,464717,
1570309500,2019-10-05 21:05:00.000,26439,,,,,,
1570309800,2019-10-05 21:10:00.000,26357,,,,,,
1570310100,2019-10-05 21:15:00.000,28498,,,,,,
1570310400,2019-10-05 21:20:00.000,24609,,,,,,
1570310700,2019-10-05 21:25:00.000,20691,,,,,,
1570311000,2019-10-05 21:30:00.000,24626,,,,,,
1570311300,2019-10-05 21:35:00.000,26692,,,,,,
1570311600,2019-10-05 21:40:00.000,26544,,,,,,
1570311900,2019-10-05 21:45:00.000,26443,,,,,,
1570312200,2019-10-05 21:50:00.000,24676,,,,,,
1570312500,2019-10-05 21:55:00.000,26699,,,,,,
