Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570060800,2019-10-03 00:00:00.000,,,,465339,466280,464838,
1570060800,2019-10-03 00:00:00.000,27829,,,,,,
1570062600,2019-10-03 00:30:00.000,,,,465354,466294,464849,
1570061100,2019-10-03 00:05:00.000,26649,,,,,,
1570061400,2019-10-03 00:10:00.000,1691,,,,,,
1570061700,2019-10-03 00:15:00.000,27557,,,,,,
1570062000,2019-10-03 00:20:00.000,36443,,,,,,
1570062300,2019-10-03 00:25:00.000,26747,,,,,,
1570062600,2019-10-03 00:30:00.000,26506,,,,,,
1570062900,2019-10-03 00:35:00.000,26484,,,,,,
1570063200,2019-10-03 00:40:00.000,26434,,,,,,
1570063500,2019-10-03 00:45:00.000,26518,,,,,,
1570063800,2019-10-03 00:50:00.000,27511,,,,,,
1570064100,2019-10-03 00:55:00.000,27884,,,,,,
