Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570449600,2019-10-07 12:00:00.000,57.977879N 10.547308E 183m,Off,11,Time OK,Free running,3000,8638,90,0,
1570449900,2019-10-07 12:05:00.000,57.977879N 10.547308E 183m,Off,11,Time OK,Free running,15100,8638,90,0,
1570450200,2019-10-07 12:10:00.000,57.977879N 10.547308E 183m,Off,11,Time OK,Free running,31400,8638,90,0,
1570450500,2019-10-07 12:15:00.000,57.977879N 10.547308E 183m,GNSS unlocked,0,Time OK,Free running,51400,8638,90,0,
1570450800,2019-10-07 12:20:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,3800,8641,90,0,
1570451100,2019-10-07 12:25:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,15800,8641,90,0,
1570451400,2019-10-07 12:30:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,30500,8641,90,0,
1570451700,2019-10-07 12:35:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,47400,8641,90,0,
1570452000,2019-10-07 12:40:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,2700,8646,90,0,
1570452300,2019-10-07 12:45:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,12700,8646,90,0,
1570452600,2019-10-07 12:50:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,24800,8646,90,0,
1570452900,2019-10-07 12:55:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,38700,8646,90,0,
