Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570413600,2019-10-07 02:00:00.000,,,,465300,466210,464784,
1570413600,2019-10-07 02:00:00.000,26744,,,,,,
1570415400,2019-10-07 02:30:00.000,,,,465318,466229,464787,
1570413900,2019-10-07 02:05:00.000,26592,,,,,,
1570414200,2019-10-07 02:10:00.000,28574,,,,,,
1570414500,2019-10-07 02:15:00.000,26498,,,,,,
1570414800,2019-10-07 02:20:00.000,28670,,,,,,
1570415100,2019-10-07 02:25:00.000,28531,,,,,,
1570415400,2019-10-07 02:30:00.000,24571,,,,,,
1570415700,2019-10-07 02:35:00.000,26611,,,,,,
1570416000,2019-10-07 02:40:00.000,28646,,,,,,
1570416300,2019-10-07 02:45:00.000,24535,,,,,,
1570416600,2019-10-07 02:50:00.000,28524,,,,,,
1570416900,2019-10-07 02:55:00.000,26914,,,,,,
