Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1569938400,2019-10-01 14:00:00.000,,,,465094,465912,464529,
1569938400,2019-10-01 14:00:00.000,19022,,,,,,
1569940200,2019-10-01 14:30:00.000,,,,465106,465934,464548,
1569938700,2019-10-01 14:05:00.000,18730,,,,,,
1569939000,2019-10-01 14:10:00.000,9376,,,,,,
1569939300,2019-10-01 14:15:00.000,18627,,,,,,
1569939600,2019-10-01 14:20:00.000,16931,,,,,,
1569939900,2019-10-01 14:25:00.000,16585,,,,,,
1569940200,2019-10-01 14:30:00.000,18532,,,,,,
1569940500,2019-10-01 14:35:00.000,20507,,,,,,
1569940800,2019-10-01 14:40:00.000,18527,,,,,,
1569941100,2019-10-01 14:45:00.000,18580,,,,,,
1569941400,2019-10-01 14:50:00.000,16802,,,,,,
1569941700,2019-10-01 14:55:00.000,16664,,,,,,
