Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570132800,2019-10-03 20:00:00.000,,,,465293,466185,464749,
1570132800,2019-10-03 20:00:00.000,26680,,,,,,
1570134600,2019-10-03 20:30:00.000,,,,465294,466205,464765,
1570133100,2019-10-03 20:05:00.000,26690,,,,,,
1570133400,2019-10-03 20:10:00.000,28276,,,,,,
1570133700,2019-10-03 20:15:00.000,26496,,,,,,
1570134000,2019-10-03 20:20:00.000,26398,,,,,,
1570134300,2019-10-03 20:25:00.000,28309,,,,,,
1570134600,2019-10-03 20:30:00.000,28280,,,,,,
1570134900,2019-10-03 20:35:00.000,28354,,,,,,
1570135200,2019-10-03 20:40:00.000,24406,,,,,,
1570135500,2019-10-03 20:45:00.000,26443,,,,,,
1570135800,2019-10-03 20:50:00.000,28536,,,,,,
1570136100,2019-10-03 20:55:00.000,26606,,,,,,
