Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570334400,2019-10-06 04:00:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,50000,8573,90,0,
1570334700,2019-10-06 04:05:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,3000,8572,90,0,
1570335000,2019-10-06 04:10:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,11800,8572,90,0,
1570335300,2019-10-06 04:15:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,20700,8572,90,0,
1570335600,2019-10-06 04:20:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,29000,8572,90,0,
1570335900,2019-10-06 04:25:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,37800,8572,90,0,
1570336200,2019-10-06 04:30:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,46700,8572,90,0,
1570336500,2019-10-06 04:35:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,500,8571,90,0,
1570336800,2019-10-06 04:40:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,9100,8571,90,0,
1570337100,2019-10-06 04:45:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,17800,8571,90,0,
1570337400,2019-10-06 04:50:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,26200,8571,90,0,
1570337700,2019-10-06 04:55:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,34800,8571,90,0,
