Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570330800,2019-10-06 03:00:00.000,,,,465294,466179,464746,
1570330800,2019-10-06 03:00:00.000,26862,,,,,,
1570332600,2019-10-06 03:30:00.000,,,,465280,466194,464749,
1570331100,2019-10-06 03:05:00.000,27041,,,,,,
1570331400,2019-10-06 03:10:00.000,28149,,,,,,
1570331700,2019-10-06 03:15:00.000,26415,,,,,,
1570332000,2019-10-06 03:20:00.000,26561,,,,,,
1570332300,2019-10-06 03:25:00.000,26305,,,,,,
1570332600,2019-10-06 03:30:00.000,26680,,,,,,
1570332900,2019-10-06 03:35:00.000,28347,,,,,,
1570333200,2019-10-06 03:40:00.000,24394,,,,,,
1570333500,2019-10-06 03:45:00.000,26938,,,,,,
1570333800,2019-10-06 03:50:00.000,26735,,,,,,
1570334100,2019-10-06 03:55:00.000,26451,,,,,,
