Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570161600,2019-10-04 04:00:00.000,57.977879N 10.547308E 183m,GNSS locked,9,Time OK,Fine lock,300,8549,100,312,
1570161900,2019-10-04 04:05:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,6000,8563,90,0,
1570162200,2019-10-04 04:10:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,15100,8563,90,0,
1570162500,2019-10-04 04:15:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,24700,8563,90,0,
1570162800,2019-10-04 04:20:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,34200,8563,90,0,
1570163100,2019-10-04 04:25:00.000,57.977879N 10.547308E 183m,Off,8,Time OK,Free running,43600,8563,90,0,
1570163400,2019-10-04 04:30:00.000,57.977879N 10.547308E 183m,GNSS locked,10,Time OK,Coarse lock,800,8537,90,729,
1570163700,2019-10-04 04:35:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,5700,8559,90,0,
1570164000,2019-10-04 04:40:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,14800,8559,90,0,
1570164300,2019-10-04 04:45:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,24200,8559,90,0,
1570164600,2019-10-04 04:50:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,33700,8559,90,0,
1570164900,2019-10-04 04:55:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,43000,8559,90,0,
