Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570662000,2019-10-09 23:00:00.000,,,,465312,466224,464791,
1570662000,2019-10-09 23:00:00.000,30194,,,,,,
1570663800,2019-10-09 23:30:00.000,,,,465308,466229,464783,
1570662300,2019-10-09 23:05:00.000,33008,,,,,,
1570662600,2019-10-09 23:10:00.000,29781,,,,,,
1570662900,2019-10-09 23:15:00.000,30437,,,,,,
1570663200,2019-10-09 23:20:00.000,30306,,,,,,
1570663500,2019-10-09 23:25:00.000,28378,,,,,,
1570663800,2019-10-09 23:30:00.000,34460,,,,,,
1570664100,2019-10-09 23:35:00.000,30409,,,,,,
1570664400,2019-10-09 23:40:00.000,34357,,,,,,
1570664700,2019-10-09 23:45:00.000,36309,,,,,,
1570665000,2019-10-09 23:50:00.000,30464,,,,,,
1570665300,2019-10-09 23:55:00.000,28352,,,,,,
