Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570258800,2019-10-05 07:00:00.000,,,,465281,466218,464743,
1570258800,2019-10-05 07:00:00.000,26563,,,,,,
1570260600,2019-10-05 07:30:00.000,,,,465298,466190,464759,
1570259100,2019-10-05 07:05:00.000,28424,,,,,,
1570259400,2019-10-05 07:10:00.000,28687,,,,,,
1570259700,2019-10-05 07:15:00.000,28319,,,,,,
1570260000,2019-10-05 07:20:00.000,28448,,,,,,
1570260300,2019-10-05 07:25:00.000,34556,,,,,,
1570260600,2019-10-05 07:30:00.000,28500,,,,,,
1570260900,2019-10-05 07:35:00.000,26651,,,,,,
1570261200,2019-10-05 07:40:00.000,30571,,,,,,
1570261500,2019-10-05 07:45:00.000,28526,,,,,,
1570261800,2019-10-05 07:50:00.000,28546,,,,,,
1570262100,2019-10-05 07:55:00.000,28510,,,,,,
