Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570165200,2019-10-04 05:00:00.000,57.977879N 10.547308E 183m,GNSS locked,9,Time OK,Coarse lock,1000,8538,90,937,
1570165500,2019-10-04 05:05:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,5700,8561,90,0,
1570165800,2019-10-04 05:10:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,15000,8561,90,0,
1570166100,2019-10-04 05:15:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,24400,8561,90,0,
1570166400,2019-10-04 05:20:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,33600,8561,90,0,
1570166700,2019-10-04 05:25:00.000,57.977879N 10.547308E 183m,Off,9,Time OK,Free running,42500,8561,90,0,
1570167000,2019-10-04 05:30:00.000,57.977879N 10.547308E 183m,GNSS unlocked,0,Time OK,Free running,51000,8561,90,0,
1570167300,2019-10-04 05:35:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,4000,8560,90,0,
1570167600,2019-10-04 05:40:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,12900,8560,90,0,
1570167900,2019-10-04 05:45:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,21600,8560,90,0,
1570168200,2019-10-04 05:50:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,30300,8560,90,0,
1570168500,2019-10-04 05:55:00.000,57.977879N 10.547308E 183m,Off,10,Time OK,Free running,39900,8560,90,0,
