Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1569988800,2019-10-02 04:00:00.000,,,,465270,466167,464749,
1569988800,2019-10-02 04:00:00.000,20312,,,,,,
1569990600,2019-10-02 04:30:00.000,,,,465279,466179,464746,
1569989100,2019-10-02 04:05:00.000,20345,,,,,,
1569989400,2019-10-02 04:10:00.000,16248,,,,,,
1569989700,2019-10-02 04:15:00.000,20417,,,,,,
1569990000,2019-10-02 04:20:00.000,43805,,,,,,
1569990300,2019-10-02 04:25:00.000,20548,,,,,,
1569990600,2019-10-02 04:30:00.000,24394,,,,,,
1569990900,2019-10-02 04:35:00.000,18470,,,,,,
1569991200,2019-10-02 04:40:00.000,28221,,,,,,
1569991500,2019-10-02 04:45:00.000,20362,,,,,,
1569991800,2019-10-02 04:50:00.000,24148,,,,,,
1569992100,2019-10-02 04:55:00.000,20476,,,,,,
