Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570492800,2019-10-08 00:00:00.000,,,,465283,466179,464764,
1570492800,2019-10-08 00:00:00.000,24478,,,,,,
1570494600,2019-10-08 00:30:00.000,,,,465277,466194,464762,
1570493100,2019-10-08 00:05:00.000,28474,,,,,,
1570493400,2019-10-08 00:10:00.000,26544,,,,,,
1570493700,2019-10-08 00:15:00.000,26711,,,,,,
1570494000,2019-10-08 00:20:00.000,43872,,,,,,
1570494300,2019-10-08 00:25:00.000,26451,,,,,,
1570494600,2019-10-08 00:30:00.000,26563,,,,,,
1570494900,2019-10-08 00:35:00.000,26427,,,,,,
1570495200,2019-10-08 00:40:00.000,24380,,,,,,
1570495500,2019-10-08 00:45:00.000,26577,,,,,,
1570495800,2019-10-08 00:50:00.000,28338,,,,,,
1570496100,2019-10-08 00:55:00.000,28581,,,,,,
