Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570604400,2019-10-09 07:00:00.000,,,,465311,466232,464901,
1570604400,2019-10-09 07:00:00.000,34563,,,,,,
1570606200,2019-10-09 07:30:00.000,,,,465311,466279,464758,
1570604700,2019-10-09 07:05:00.000,36242,,,,,,
1570605000,2019-10-09 07:10:00.000,34494,,,,,,
1570605300,2019-10-09 07:15:00.000,30320,,,,,,
1570605600,2019-10-09 07:20:00.000,34537,,,,,,
1570605900,2019-10-09 07:25:00.000,30308,,,,,,
1570606200,2019-10-09 07:30:00.000,34379,,,,,,
1570606500,2019-10-09 07:35:00.000,30208,,,,,,
1570606800,2019-10-09 07:40:00.000,30160,,,,,,
1570607100,2019-10-09 07:45:00.000,30466,,,,,,
1570607400,2019-10-09 07:50:00.000,34360,,,,,,
1570607700,2019-10-09 07:55:00.000,34489,,,,,,
