Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570093200,2019-10-03 09:00:00.000,,,,465344,466282,464815,
1570093200,2019-10-03 09:00:00.000,36431,,,,,,
1570095000,2019-10-03 09:30:00.000,,,,465314,466231,464785,
1570093500,2019-10-03 09:05:00.000,36350,,,,,,
1570093800,2019-10-03 09:10:00.000,36211,,,,,,
1570094100,2019-10-03 09:15:00.000,24489,,,,,,
1570094400,2019-10-03 09:20:00.000,34228,,,,,,
1570094700,2019-10-03 09:25:00.000,34295,,,,,,
1570095000,2019-10-03 09:30:00.000,36216,,,,,,
1570095300,2019-10-03 09:35:00.000,36209,,,,,,
1570095600,2019-10-03 09:40:00.000,36309,,,,,,
1570095900,2019-10-03 09:45:00.000,34467,,,,,,
1570096200,2019-10-03 09:50:00.000,34630,,,,,,
1570096500,2019-10-03 09:55:00.000,34305,,,,,,
