Time(longsecs),Time(UTC),External SOH Voltage 1(V),External SOH Voltage 2(V),External SOH Voltage 3(V),External SOH Voltage 4(V),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1570042845,2019-10-02 19:00:45.722,-1.5089512E-3,-7.969141E-3,-1.72019E-3,-1.5187263E-3,3.2765388E-1,3.2230186E-1,3.2718563E-1,
1570042905,2019-10-02 19:01:45.722,-3.3152103E-3,-8.500576E-3,-2.3350716E-3,-2.2222996E-3,3.2903385E-1,3.2327747E-1,3.2918072E-1,
1570042965,2019-10-02 19:02:45.722,-1.6202927E-3,-1.02033615E-2,-3.7543774E-3,-3.9761066E-3,3.2097912E-1,3.1568718E-1,3.2508183E-1,
1570043025,2019-10-02 19:03:45.722,1.2817383E-3,-7.917881E-3,-1.0070801E-3,-1.7879009E-3,3.2827187E-1,3.2274055E-1,3.332796E-1,
1570043085,2019-10-02 19:04:45.722,1.177311E-3,-8.033514E-3,-1.1053085E-3,-2.225399E-3,3.2520866E-1,3.2197475E-1,3.3181667E-1,
1570043145,2019-10-02 19:05:45.722,-9.829998E-4,-7.745743E-3,-1.7459393E-3,-2.1190643E-3,3.235159E-1,3.1644917E-1,3.2823563E-1,
1570043205,2019-10-02 19:06:45.722,2.6988983E-4,-7.987976E-3,-1.3988018E-3,-1.6920567E-3,3.255024E-1,3.2233524E-1,3.295517E-1,
1570043265,2019-10-02 19:07:45.722,1.5089512E-3,-8.5065365E-3,-2.0551682E-3,-2.3362637E-3,3.2503986E-1,3.199854E-1,3.2808495E-1,
1570043325,2019-10-02 19:08:45.722,8.113384E-4,-5.899906E-3,6.2298775E-4,2.629757E-4,3.341999E-1,3.2832336E-1,3.372116E-1,
1570043385,2019-10-02 19:09:45.722,1.1136532E-3,-7.826567E-3,-2.3653507E-3,-3.8568974E-3,3.2783127E-1,3.2223606E-1,3.2739067E-1,
1570043445,2019-10-02 19:10:45.722,1.3074875E-3,-7.594824E-3,-1.2323856E-3,-1.6877651E-3,3.24296E-1,3.1881523E-1,3.3137035E-1,
1570043505,2019-10-02 19:11:45.722,-3.0918121E-3,-9.849548E-3,-3.0088425E-3,-4.200697E-3,3.2206535E-1,3.1555557E-1,3.2417583E-1,
1570043565,2019-10-02 19:12:45.722,1.6403198E-4,-7.7490807E-3,-1.1613369E-3,-1.4328957E-3,3.3013248E-1,3.255129E-1,3.273344E-1,
1570043625,2019-10-02 19:13:45.722,9.1195107E-4,-7.5087547E-3,-1.1305809E-3,-1.3818741E-3,3.2952213E-1,3.23411E-1,3.3347988E-1,
1570043685,2019-10-02 19:14:45.722,-1.9495487E-3,-1.0508537E-2,-4.823208E-3,-4.265547E-3,3.2183647E-1,3.172531E-1,3.2956123E-1,
1570043745,2019-10-02 19:15:45.722,8.122921E-4,-6.6075325E-3,6.0915947E-4,4.272461E-4,3.3424377E-1,3.2935143E-1,3.3252335E-1,
1570043805,2019-10-02 19:16:45.722,-3.369093E-3,-8.71563E-3,-1.8875599E-3,-2.3376942E-3,3.2772636E-1,3.2153416E-1,3.2654762E-1,
1570043865,2019-10-02 19:17:45.722,-1.242876E-3,-7.810354E-3,-2.27499E-3,-2.4569035E-3,3.2391357E-1,3.1874275E-1,3.3294106E-1,
1570043925,2019-10-02 19:18:45.722,1.2564659E-3,-6.0310364E-3,-2.0980835E-5,6.1392784E-4,3.3205318E-1,3.269186E-1,3.2625866E-1,
1570043985,2019-10-02 19:19:45.722,7.557869E-5,-8.439302E-3,-2.0570755E-3,-2.0430088E-3,3.2756996E-1,3.2193565E-1,3.2788563E-1,
1570044045,2019-10-02 19:20:45.722,1.1367798E-3,-6.8485737E-3,-1.4913082E-3,-1.8975735E-3,3.292246E-1,3.2414436E-1,3.3111954E-1,
1570044105,2019-10-02 19:21:45.761,-2.660513E-3,-1.0012627E-2,-3.2830238E-3,-4.173279E-3,3.215027E-1,3.170576E-1,3.2351112E-1,
1570044165,2019-10-02 19:22:45.722,-2.3963451E-3,-9.839058E-3,-2.9580593E-3,-4.0991306E-3,3.1802082E-1,3.1250286E-1,3.2008457E-1,
1570044225,2019-10-02 19:23:45.724,-9.794235E-4,-8.531094E-3,-2.1612644E-3,-2.6788712E-3,3.2729626E-1,3.2324696E-1,3.3318615E-1,
1570044285,2019-10-02 19:24:45.724,-2.6085377E-3,-9.957552E-3,-2.8438568E-3,-4.050255E-3,3.1840992E-1,3.1623268E-1,3.2761288E-1,
1570044345,2019-10-02 19:25:45.722,5.3453445E-4,-8.664131E-3,-7.572174E-4,-2.789259E-3,3.281784E-1,3.1926632E-1,3.2535172E-1,
1570044405,2019-10-02 19:26:45.722,-3.4492016E-3,-9.946585E-3,-2.4814606E-3,-4.1685104E-3,3.188343E-1,3.1541538E-1,3.2386303E-1,
1570044465,2019-10-02 19:27:45.722,2.9067993E-3,-6.098509E-3,7.2073936E-4,2.746582E-4,3.358364E-1,3.2765388E-1,3.3523178E-1,
1570044525,2019-10-02 19:28:45.722,-2.6259422E-3,-1.0657072E-2,-3.8275719E-3,-3.926277E-3,3.223486E-1,3.156109E-1,3.2248974E-1,
1570044585,2019-10-02 19:29:45.722,-4.0934086E-3,-9.721279E-3,-2.7019978E-3,-4.6875477E-3,3.1776237E-1,3.163681E-1,3.2495403E-1,
1570044645,2019-10-02 19:30:45.723,2.720356E-4,-6.070614E-3,6.9499016E-4,5.2142143E-4,3.3418941E-1,3.2626343E-1,3.3365345E-1,
1570044705,2019-10-02 19:31:45.722,1.6527176E-3,-6.153822E-3,4.3153763E-4,-2.901554E-4,3.340006E-1,3.287506E-1,3.3581352E-1,
1570044765,2019-10-02 19:32:45.722,-2.28405E-4,-7.827759E-3,-1.3384819E-3,-2.0256042E-3,3.247156E-1,3.2113647E-1,3.3294106E-1,
1570044825,2019-10-02 19:33:45.724,2.432108E-3,-6.4451694E-3,1.5749931E-3,-1.9073486E-6,3.357916E-1,3.251896E-1,3.3898354E-1,
1570044885,2019-10-02 19:34:45.722,3.5834312E-4,-8.391857E-3,-2.2768974E-3,-7.212162E-4,3.2408142E-1,3.1969357E-1,3.317566E-1,
1570044945,2019-10-02 19:35:45.722,-2.2747517E-3,-1.0157108E-2,-3.751278E-3,-3.8912296E-3,3.2078934E-1,3.1553078E-1,3.254938E-1,
1570045005,2019-10-02 19:36:45.722,-2.6125908E-3,-1.0357618E-2,-3.521204E-3,-4.3103695E-3,3.210516E-1,3.1586647E-1,3.2485867E-1,
1570045065,2019-10-02 19:37:45.722,-2.0496845E-3,-1.0879993E-2,-2.5639534E-3,-3.993511E-3,3.200102E-1,3.17379E-1,3.2649136E-1,
1570045125,2019-10-02 19:38:45.722,1.8062592E-3,-4.76861E-3,7.5006485E-4,1.6963482E-3,3.3159637E-1,3.287983E-1,3.3548546E-1,
1570045185,2019-10-02 19:39:45.722,2.307415E-3,-6.1979294E-3,9.088516E-4,1.1413097E-3,3.3487797E-1,3.284006E-1,3.3980656E-1,
1570045245,2019-10-02 19:40:45.722,-2.7627945E-3,-9.484291E-3,-3.3831596E-3,-4.0774345E-3,3.2244205E-1,3.1512547E-1,3.259182E-1,
1570045305,2019-10-02 19:41:45.741,-5.271435E-4,-7.721424E-3,-1.0786057E-3,-1.6300678E-3,3.2849503E-1,3.2184887E-1,3.3151436E-1,
1570045365,2019-10-02 19:42:45.722,-2.6872158E-3,-1.0446072E-2,-2.8386116E-3,-3.9925575E-3,3.2052517E-1,3.1782818E-1,3.2451057E-1,
1570045425,2019-10-02 19:43:45.722,-1.0251999E-5,-8.929491E-3,-2.23732E-3,-2.7623177E-3,3.240261E-1,3.1968784E-1,3.2645607E-1,
1570045485,2019-10-02 19:44:45.722,2.724409E-3,-5.5320263E-3,2.629757E-4,-2.4986267E-4,3.3019924E-1,3.2489967E-1,3.3613396E-1,
