Time(longsecs),Time(UTC),GPS Satellite Acquisition Flag 1,GPS Satellite Acquisition Flag 2,GPS Satellite Acquisition Flag 3,GPS Satellite Acquisition Flag 4,GPS Satellite Acquisition Flag 5,GPS Satellite Acquisition Flag 6,GPS Satellite Acquisition Flag 7,GPS Satellite Acquisition Flag 8,GPS Satellite Acquisition Flag 9,GPS Satellite Acquisition Flag 10,GPS Satellite Acquisition Flag 11,GPS Satellite Acquisition Flag 12,GPS Satellite Azimuth 1(Degrees),GPS Satellite Azimuth 2(Degrees),GPS Satellite Azimuth 3(Degrees),GPS Satellite Azimuth 4(Degrees),GPS Satellite Azimuth 5(Degrees),GPS Satellite Azimuth 6(Degrees),GPS Satellite Azimuth 7(Degrees),GPS Satellite Azimuth 8(Degrees),GPS Satellite Azimuth 9(Degrees),GPS Satellite Azimuth 10(Degrees),GPS Satellite Azimuth 11(Degrees),GPS Satellite Azimuth 12(Degrees),GPS Satellite Elevation 1(Degrees),GPS Satellite Elevation 2(Degrees),GPS Satellite Elevation 3(Degrees),GPS Satellite Elevation 4(Degrees),GPS Satellite Elevation 5(Degrees),GPS Satellite Elevation 6(Degrees),GPS Satellite Elevation 7(Degrees),GPS Satellite Elevation 8(Degrees),GPS Satellite Elevation 9(Degrees),GPS Satellite Elevation 10(Degrees),GPS Satellite Elevation 11(Degrees),GPS Satellite Elevation 12(Degrees),GPS Satellite PRN 1,GPS Satellite PRN 2,GPS Satellite PRN 3,GPS Satellite PRN 4,GPS Satellite PRN 5,GPS Satellite PRN 6,GPS Satellite PRN 7,GPS Satellite PRN 8,GPS Satellite PRN 9,GPS Satellite PRN 10,GPS Satellite PRN 11,GPS Satellite PRN 12,GPS Satellite Signal Level 1(AMU),GPS Satellite Signal Level 2(AMU),GPS Satellite Signal Level 3(AMU),GPS Satellite Signal Level 4(AMU),GPS Satellite Signal Level 5(AMU),GPS Satellite Signal Level 6(AMU),GPS Satellite Signal Level 7(AMU),GPS Satellite Signal Level 8(AMU),GPS Satellite Signal Level 9(AMU),GPS Satellite Signal Level 10(AMU),GPS Satellite Signal Level 11(AMU),GPS Satellite Signal Level 12(AMU),
1570053645,2019-10-02 22:00:45.755,,,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,1.42276144E2,1.7944294399999998E2,7.542901599999999E1,1.01694312E2,2.70444736E2,2.92212E2,4.8150836E1,,,,,,2.9802149999999997E1,5.6972832E1,3.4665028E1,3.4060836E1,2.3604077999999998E1,6.860805599999999E1,1.657337E1,,,,,,13,15,17,19,20,24,28,,,,,,6,16,1,4,3,13,0,,,,
1570053705,2019-10-02 22:01:45.722,,,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,1.42276144E2,1.7944294399999998E2,7.542901599999999E1,1.01694312E2,2.70444736E2,2.92212E2,4.8150836E1,,,,,,2.9802149999999997E1,5.6972832E1,3.4665028E1,3.4060836E1,2.3604077999999998E1,6.860805599999999E1,1.657337E1,,,,,,13,15,17,19,20,24,28,,,,,,6,16,1,4,3,13,0,,,,
1570053765,2019-10-02 22:02:45.722,,,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,1.42276144E2,1.7944294399999998E2,7.542901599999999E1,1.01694312E2,2.70444736E2,2.92212E2,4.8150836E1,,,,,,2.9802149999999997E1,5.6972832E1,3.4665028E1,3.4060836E1,2.3604077999999998E1,6.860805599999999E1,1.657337E1,,,,,,13,15,17,19,20,24,28,,,,,,6,16,1,4,3,13,0,,,,
1570053825,2019-10-02 22:03:45.724,,,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,1.42276144E2,1.7944294399999998E2,7.542901599999999E1,1.01694312E2,2.70444736E2,2.92212E2,4.8150836E1,,,,,,2.9802149999999997E1,5.6972832E1,3.4665028E1,3.4060836E1,2.3604077999999998E1,6.860805599999999E1,1.657337E1,,,,,,13,15,17,19,20,24,28,,,,,,6,16,1,4,3,13,0,,,,
1570053885,2019-10-02 22:04:45.723,,,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,1.42276144E2,1.7944294399999998E2,7.542901599999999E1,1.01694312E2,2.70444736E2,2.92212E2,4.8150836E1,,,,,,2.9802149999999997E1,5.6972832E1,3.4665028E1,3.4060836E1,2.3604077999999998E1,6.860805599999999E1,1.657337E1,,,,,,13,15,17,19,20,24,28,,,,,,6,16,1,4,3,13,0,,,,
1570053945,2019-10-02 22:05:45.724,,,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,1.42276144E2,1.7944294399999998E2,7.542901599999999E1,1.01694312E2,2.70444736E2,2.92212E2,4.8150836E1,,,,,,2.9802149999999997E1,5.6972832E1,3.4665028E1,3.4060836E1,2.3604077999999998E1,6.860805599999999E1,1.657337E1,,,,,,13,15,17,19,20,24,28,,,,,,6,16,1,4,3,13,0,,,,
1570054005,2019-10-02 22:06:45.722,,,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,1.42276144E2,1.7944294399999998E2,7.542901599999999E1,1.01694312E2,2.70444736E2,2.92212E2,4.8150836E1,,,,,,2.9802149999999997E1,5.6972832E1,3.4665028E1,3.4060836E1,2.3604077999999998E1,6.860805599999999E1,1.657337E1,,,,,,13,15,17,19,20,24,28,,,,,,6,16,1,4,3,13,0,,,,
1570054065,2019-10-02 22:07:45.722,,,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,1.42276144E2,1.7944294399999998E2,7.542901599999999E1,1.01694312E2,2.70444736E2,2.92212E2,4.8150836E1,,,,,,2.9802149999999997E1,5.6972832E1,3.4665028E1,3.4060836E1,2.3604077999999998E1,6.860805599999999E1,1.657337E1,,,,,,13,15,17,19,20,24,28,,,,,,6,16,1,4,3,13,0,,,,
1570054125,2019-10-02 22:08:45.722,,,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,1.42276144E2,1.7944294399999998E2,7.542901599999999E1,1.01694312E2,2.70444736E2,2.92212E2,4.8150836E1,,,,,,2.9802149999999997E1,5.6972832E1,3.4665028E1,3.4060836E1,2.3604077999999998E1,6.860805599999999E1,1.657337E1,,,,,,13,15,17,19,20,24,28,,,,,,6,16,1,4,3,13,0,,,,
1570054185,2019-10-02 22:09:45.722,,,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Not acquired,,,,,,1.42276144E2,1.7944294399999998E2,7.542901599999999E1,1.01694312E2,2.70444736E2,2.92212E2,4.8150836E1,,,,,,2.9802149999999997E1,5.6972832E1,3.4665028E1,3.4060836E1,2.3604077999999998E1,6.860805599999999E1,1.657337E1,,,,,,13,15,17,19,20,24,28,,,,,,6,16,1,4,3,13,0,,,,
