Time(longsecs),Time(UTC),Earth Location,GPS Receiver Status,GPS Satellites Used,GPS PDOP,GPS TDOP,Timing Status,Timing Phase Lock,Timing Uncertainty(ns),DAC Count,Timing Error(ns),GPS Last Update Time,
1569895225,2019-10-01 02:00:25.279,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,2100,9207,0,2019-10-01 01:58:12.000000000,
1569895285,2019-10-01 02:01:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,3100,9207,0,2019-10-01 01:58:12.000000000,
1569895345,2019-10-01 02:02:25.277,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,3900,9207,0,2019-10-01 01:58:12.000000000,
1569895405,2019-10-01 02:03:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,4900,9207,0,2019-10-01 01:58:12.000000000,
1569895465,2019-10-01 02:04:25.269,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,5800,9207,0,2019-10-01 01:58:12.000000000,
1569895525,2019-10-01 02:05:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,6900,9207,0,2019-10-01 01:58:12.000000000,
1569895585,2019-10-01 02:06:25.269,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,8100,9207,0,2019-10-01 01:58:12.000000000,
1569895645,2019-10-01 02:07:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,9100,9207,0,2019-10-01 01:58:12.000000000,
1569895705,2019-10-01 02:08:25.305,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,10200,9207,0,2019-10-01 01:58:12.000000000,
1569895765,2019-10-01 02:09:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,11600,9207,0,2019-10-01 01:58:12.000000000,
1569895825,2019-10-01 02:10:25.310,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,12600,9207,0,2019-10-01 01:58:12.000000000,
1569895885,2019-10-01 02:11:25.268,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,13400,9207,0,2019-10-01 01:58:12.000000000,
1569895945,2019-10-01 02:12:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,14700,9207,0,2019-10-01 01:58:12.000000000,
1569896005,2019-10-01 02:13:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,16100,9207,0,2019-10-01 01:58:12.000000000,
1569896065,2019-10-01 02:14:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,17200,9207,0,2019-10-01 01:58:12.000000000,
1569896125,2019-10-01 02:15:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,18300,9207,0,2019-10-01 01:58:12.000000000,
1569896185,2019-10-01 02:16:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,19200,9207,0,2019-10-01 01:58:12.000000000,
1569896245,2019-10-01 02:17:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,20100,9207,0,2019-10-01 01:58:12.000000000,
1569896305,2019-10-01 02:18:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,21200,9207,0,2019-10-01 01:58:12.000000000,
1569896365,2019-10-01 02:19:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,22200,9207,0,2019-10-01 01:58:12.000000000,
1569896425,2019-10-01 02:20:25.299,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,23300,9207,0,2019-10-01 01:58:12.000000000,
1569896485,2019-10-01 02:21:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,24600,9207,0,2019-10-01 01:58:12.000000000,
1569896545,2019-10-01 02:22:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,25700,9207,0,2019-10-01 01:58:12.000000000,
1569896605,2019-10-01 02:23:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,26700,9207,0,2019-10-01 01:58:12.000000000,
1569896665,2019-10-01 02:24:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,27700,9207,0,2019-10-01 01:58:12.000000000,
1569896725,2019-10-01 02:25:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,28500,9207,0,2019-10-01 01:58:12.000000000,
1569896785,2019-10-01 02:26:25.279,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,29500,9207,0,2019-10-01 01:58:12.000000000,
1569896845,2019-10-01 02:27:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,30700,9207,0,2019-10-01 01:58:12.000000000,
1569896905,2019-10-01 02:28:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,31500,9207,0,2019-10-01 01:58:12.000000000,
1569896965,2019-10-01 02:29:25.269,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,32300,9207,0,2019-10-01 01:58:12.000000000,
1569897025,2019-10-01 02:30:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,33200,9207,0,2019-10-01 01:58:12.000000000,
1569897085,2019-10-01 02:31:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,34000,9207,0,2019-10-01 01:58:12.000000000,
1569897145,2019-10-01 02:32:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,35000,9207,0,2019-10-01 01:58:12.000000000,
1569897205,2019-10-01 02:33:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,36000,9207,0,2019-10-01 01:58:12.000000000,
1569897265,2019-10-01 02:34:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,36900,9207,0,2019-10-01 01:58:12.000000000,
1569897325,2019-10-01 02:35:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,38000,9207,0,2019-10-01 01:58:12.000000000,
1569897385,2019-10-01 02:36:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,39000,9207,0,2019-10-01 01:58:12.000000000,
1569897445,2019-10-01 02:37:25.269,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,40000,9207,0,2019-10-01 01:58:12.000000000,
1569897505,2019-10-01 02:38:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,40800,9207,0,2019-10-01 01:58:12.000000000,
1569897565,2019-10-01 02:39:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,41700,9207,0,2019-10-01 01:58:12.000000000,
1569897625,2019-10-01 02:40:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,42500,9207,0,2019-10-01 01:58:12.000000000,
1569897685,2019-10-01 02:41:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,43300,9207,0,2019-10-01 01:58:12.000000000,
1569897745,2019-10-01 02:42:25.276,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,44500,9207,0,2019-10-01 01:58:12.000000000,
1569897805,2019-10-01 02:43:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,45600,9207,0,2019-10-01 01:58:12.000000000,
1569897865,2019-10-01 02:44:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,46700,9207,0,2019-10-01 01:58:12.000000000,
1569897925,2019-10-01 02:45:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,47800,9207,0,2019-10-01 01:58:12.000000000,
1569897985,2019-10-01 02:46:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,48800,9207,0,2019-10-01 01:58:12.000000000,
1569898045,2019-10-01 02:47:25.267,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,49800,9207,0,2019-10-01 01:58:12.000000000,
1569898105,2019-10-01 02:48:25.269,57.990664N 10.574459E 195m,Off,5,2.808724E0,1.7080525E0,Time OK,Free running,50800,9207,0,2019-10-01 01:58:12.000000000,
1569898165,2019-10-01 02:49:25.267,57.990664N 10.574459E 195m,No GPS time,0,0.0E0,0.0E0,Time OK,Free running,51800,9207,0,2019-10-01 02:49:22.000000000,
1569898225,2019-10-01 02:50:25.267,57.990592N 10.574476E 204m,Doing fixes,6,3.3253477E0,2.187632E0,Time OK,Coarse lock,100,9252,0,2019-10-01 02:50:22.000000000,
1569898285,2019-10-01 02:51:25.267,57.990664N 10.574547E 189m,Doing fixes,7,1.8045729E0,9.6931106E-1,Time OK,Fine lock,100,9207,0,2019-10-01 02:51:22.000000000,
1569898345,2019-10-01 02:52:25.271,57.990652N 10.574540E 191m,Off,6,3.3309858E0,2.193967E0,Time OK,Free running,800,9206,0,2019-10-01 02:51:32.000000000,
1569898405,2019-10-01 02:53:25.267,57.990652N 10.574540E 191m,Off,6,3.3309858E0,2.193967E0,Time OK,Free running,1700,9206,0,2019-10-01 02:51:32.000000000,
1569898465,2019-10-01 02:54:25.267,57.990652N 10.574540E 191m,Off,6,3.3309858E0,2.193967E0,Time OK,Free running,2700,9206,0,2019-10-01 02:51:32.000000000,
1569898525,2019-10-01 02:55:25.267,57.990652N 10.574540E 191m,Off,6,3.3309858E0,2.193967E0,Time OK,Free running,4000,9206,0,2019-10-01 02:51:32.000000000,
1569898585,2019-10-01 02:56:25.267,57.990652N 10.574540E 191m,Off,6,3.3309858E0,2.193967E0,Time OK,Free running,5200,9206,0,2019-10-01 02:51:32.000000000,
1569898645,2019-10-01 02:57:25.267,57.990652N 10.574540E 191m,Off,6,3.3309858E0,2.193967E0,Time OK,Free running,6500,9206,0,2019-10-01 02:51:32.000000000,
1569898705,2019-10-01 02:58:25.267,57.990652N 10.574540E 191m,Off,6,3.3309858E0,2.193967E0,Time OK,Free running,8200,9206,0,2019-10-01 02:51:32.000000000,
1569898765,2019-10-01 02:59:25.267,57.990652N 10.574540E 191m,Off,6,3.3309858E0,2.193967E0,Time OK,Free running,9600,9206,0,2019-10-01 02:51:32.000000000,
