Time(longsecs),Time(UTC),Earth Location,GPS Receiver Status,GPS Satellites Used,GPS PDOP,GPS TDOP,Timing Status,Timing Phase Lock,Timing Uncertainty(ns),DAC Count,Timing Error(ns),GPS Last Update Time,
1570600845,2019-10-09 06:00:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,5300,8888,0,2019-10-09 05:54:42.000000000,
1570600905,2019-10-09 06:01:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,6300,8888,0,2019-10-09 05:54:42.000000000,
1570600965,2019-10-09 06:02:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,7100,8888,0,2019-10-09 05:54:42.000000000,
1570601025,2019-10-09 06:03:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,8100,8888,0,2019-10-09 05:54:42.000000000,
1570601085,2019-10-09 06:04:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,9000,8888,0,2019-10-09 05:54:42.000000000,
1570601145,2019-10-09 06:05:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,9800,8888,0,2019-10-09 05:54:42.000000000,
1570601205,2019-10-09 06:06:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,10700,8888,0,2019-10-09 05:54:42.000000000,
1570601265,2019-10-09 06:07:45.724,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,11700,8888,0,2019-10-09 05:54:42.000000000,
1570601325,2019-10-09 06:08:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,12600,8888,0,2019-10-09 05:54:42.000000000,
1570601385,2019-10-09 06:09:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,13600,8888,0,2019-10-09 05:54:42.000000000,
1570601445,2019-10-09 06:10:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,14400,8888,0,2019-10-09 05:54:42.000000000,
1570601505,2019-10-09 06:11:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,15200,8888,0,2019-10-09 05:54:42.000000000,
1570601565,2019-10-09 06:12:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,16200,8888,0,2019-10-09 05:54:42.000000000,
1570601625,2019-10-09 06:13:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,17100,8888,0,2019-10-09 05:54:42.000000000,
1570601685,2019-10-09 06:14:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,17900,8888,0,2019-10-09 05:54:42.000000000,
1570601745,2019-10-09 06:15:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,18900,8888,0,2019-10-09 05:54:42.000000000,
1570601805,2019-10-09 06:16:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,19800,8888,0,2019-10-09 05:54:42.000000000,
1570601865,2019-10-09 06:17:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,20700,8888,0,2019-10-09 05:54:42.000000000,
1570601925,2019-10-09 06:18:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,21600,8888,0,2019-10-09 05:54:42.000000000,
1570601985,2019-10-09 06:19:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,22500,8888,0,2019-10-09 05:54:42.000000000,
1570602045,2019-10-09 06:20:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,23300,8888,0,2019-10-09 05:54:42.000000000,
1570602105,2019-10-09 06:21:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,24200,8888,0,2019-10-09 05:54:42.000000000,
1570602165,2019-10-09 06:22:45.761,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,25100,8888,0,2019-10-09 05:54:42.000000000,
1570602225,2019-10-09 06:23:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,26000,8888,0,2019-10-09 05:54:42.000000000,
1570602285,2019-10-09 06:24:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,27100,8888,0,2019-10-09 05:54:42.000000000,
1570602345,2019-10-09 06:25:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,27900,8888,0,2019-10-09 05:54:42.000000000,
1570602405,2019-10-09 06:26:45.730,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,28900,8888,0,2019-10-09 05:54:42.000000000,
1570602465,2019-10-09 06:27:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,29800,8888,0,2019-10-09 05:54:42.000000000,
1570602525,2019-10-09 06:28:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,30600,8888,0,2019-10-09 05:54:42.000000000,
1570602585,2019-10-09 06:29:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,31400,8888,0,2019-10-09 05:54:42.000000000,
1570602645,2019-10-09 06:30:45.724,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,32400,8888,0,2019-10-09 05:54:42.000000000,
1570602705,2019-10-09 06:31:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,33300,8888,0,2019-10-09 05:54:42.000000000,
1570602765,2019-10-09 06:32:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,34400,8888,0,2019-10-09 05:54:42.000000000,
1570602825,2019-10-09 06:33:45.763,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,35300,8888,0,2019-10-09 05:54:42.000000000,
1570602885,2019-10-09 06:34:45.724,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,36200,8888,0,2019-10-09 05:54:42.000000000,
1570602945,2019-10-09 06:35:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,37000,8888,0,2019-10-09 05:54:42.000000000,
1570603005,2019-10-09 06:36:45.722,57.990620N 10.574558E 188m,Off,7,2.5619524E0,1.6101425E0,Time OK,Free running,38100,8888,0,2019-10-09 05:54:42.000000000,
