Time(longsecs),Time(UTC),External SOH Voltage 1(V),External SOH Voltage 2(V),External SOH Voltage 3(V),External SOH Voltage 4(V),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1570636822,2019-10-09 16:00:22.352,-2.3918152E-3,-9.869099E-3,-3.5998821E-3,-3.8163662E-3,3.6809635E-1,3.6133957E-1,3.7011337E-1,
1570636882,2019-10-09 16:01:22.352,-9.965897E-4,-8.285999E-3,-1.8558502E-3,-1.8956661E-3,3.7216473E-1,3.680849E-1,3.7574482E-1,
1570636942,2019-10-09 16:02:22.352,1.8389225E-3,-6.0429573E-3,4.708767E-4,7.2574615E-4,3.7934113E-1,3.7435627E-1,3.8167763E-1,
1570637002,2019-10-09 16:03:22.354,1.13248825E-4,-7.8110695E-3,-1.3182163E-3,-1.4665127E-3,3.6991215E-1,3.6436462E-1,3.7227154E-1,
1570637062,2019-10-09 16:04:22.352,-2.6361942E-3,-1.0027885E-2,-3.6358833E-3,-4.651785E-3,3.6810398E-1,3.625288E-1,3.710432E-1,
1570637122,2019-10-09 16:05:22.352,-2.4778843E-3,-1.004982E-2,-4.0564537E-3,-3.6945343E-3,3.7194538E-1,3.6655903E-1,3.7435627E-1,
1570637182,2019-10-09 16:06:22.352,-2.4437904E-3,-1.0267973E-2,-3.3738613E-3,-3.9350986E-3,3.720789E-1,3.66827E-1,3.729906E-1,
1570637242,2019-10-09 16:07:22.352,-1.97649E-3,-9.175539E-3,-4.224062E-3,-4.5707226E-3,3.6372375E-1,3.5842514E-1,3.6679935E-1,
1570637302,2019-10-09 16:08:22.352,-2.5503635E-3,-1.0435343E-2,-3.9479733E-3,-4.3280125E-3,3.6785507E-1,3.618536E-1,3.6882877E-1,
1570637362,2019-10-09 16:09:22.352,1.8174648E-3,-5.936384E-3,3.4356117E-4,5.145073E-4,3.7959957E-1,3.7461758E-1,3.8337898E-1,
1570637422,2019-10-09 16:10:22.352,-1.5735626E-5,-7.93767E-3,-1.4259815E-3,-1.537323E-3,3.7487888E-1,3.7007904E-1,3.7695122E-1,
1570637482,2019-10-09 16:11:22.352,-6.3991547E-4,-8.4216595E-3,-1.3051033E-3,-2.364397E-3,3.76441E-1,3.7141323E-1,3.7768364E-1,
1570637542,2019-10-09 16:12:22.352,1.511097E-3,-6.0167313E-3,2.4962425E-4,-4.863739E-5,3.8201332E-1,3.7583256E-1,3.8347816E-1,
1570637602,2019-10-09 16:13:22.352,1.9626617E-3,-5.2609444E-3,-6.3729286E-4,-5.390644E-4,3.7948704E-1,3.7533092E-1,3.8329124E-1,
1570637662,2019-10-09 16:14:22.352,-2.3696423E-3,-1.0262728E-2,-3.9212704E-3,-3.998518E-3,3.6384296E-1,3.5866737E-1,3.663082E-1,
1570637722,2019-10-09 16:15:22.352,-2.4416447E-3,-1.0060549E-2,-3.9737225E-3,-4.075289E-3,3.7122536E-1,3.6588764E-1,3.758707E-1,
1570637782,2019-10-09 16:16:22.352,-1.7809868E-4,-7.806301E-3,-1.3241768E-3,-1.594305E-3,3.7594414E-1,3.714056E-1,3.8009644E-1,
1570637842,2019-10-09 16:17:22.352,1.6772747E-3,-5.2773952E-3,8.1825256E-4,1.4138222E-4,3.8034058E-1,3.749056E-1,3.8385105E-1,
1570637902,2019-10-09 16:18:22.352,-1.090765E-3,-8.248329E-3,-2.3674965E-3,-1.82724E-3,3.729229E-1,3.687296E-1,3.7498283E-1,
1570637962,2019-10-09 16:19:22.352,-7.939339E-5,-7.442236E-3,-1.7595291E-3,-1.3740063E-3,3.76956E-1,3.7032604E-1,3.7998772E-1,
1570638022,2019-10-09 16:20:22.352,1.9133091E-3,-6.1860085E-3,6.439686E-4,2.644062E-4,3.8033772E-1,3.7501144E-1,3.8419342E-1,
1570638082,2019-10-09 16:21:22.384,1.924038E-4,-7.739544E-3,-8.022785E-4,-1.3473034E-3,3.789358E-1,3.7432003E-1,3.8223457E-1,
1570638142,2019-10-09 16:22:22.352,1.9338131E-3,-6.166935E-3,-3.426075E-4,8.943081E-4,3.7988663E-1,3.7484264E-1,3.8283157E-1,
1570638202,2019-10-09 16:23:22.352,1.5735626E-5,-7.638693E-3,-1.232624E-3,-1.8467903E-3,3.740282E-1,3.6990547E-1,3.7747192E-1,
1570638262,2019-10-09 16:24:22.353,2.1269321E-3,-5.473852E-3,8.597374E-4,5.235672E-4,3.8135242E-1,3.7723923E-1,3.8661385E-1,
1570638322,2019-10-09 16:25:22.354,7.939339E-5,-7.2319508E-3,-9.627342E-4,-1.8427372E-3,3.707714E-1,3.6571312E-1,3.737116E-1,
1570638382,2019-10-09 16:26:22.352,-4.7135353E-4,-8.495092E-3,-1.7867088E-3,-2.3901463E-3,3.7339878E-1,3.6784554E-1,3.7646198E-1,
1570638442,2019-10-09 16:27:22.385,-6.246567E-5,-7.411003E-3,-6.325245E-4,-1.3995171E-3,3.7489605E-1,3.6900616E-1,3.7814617E-1,
1570638502,2019-10-09 16:28:22.352,2.8848648E-5,-7.495165E-3,-1.7635822E-3,-2.4425983E-3,3.759098E-1,3.7187672E-1,3.8095474E-1,
1570638562,2019-10-09 16:29:22.352,-2.3770332E-3,-1.0184526E-2,-4.207611E-3,-3.0910969E-3,3.6765575E-1,3.6350155E-1,3.705616E-1,
1570638622,2019-10-09 16:30:22.352,-6.701946E-4,-8.43811E-3,-1.6067028E-3,-2.304554E-3,3.6868477E-1,3.6390114E-1,3.7257385E-1,
1570638682,2019-10-09 16:31:22.352,-3.10421E-3,-9.933472E-3,-3.669262E-3,-4.1098595E-3,3.6271477E-1,3.5628414E-1,3.626442E-1,
1570638742,2019-10-09 16:32:22.352,-2.4368763E-3,-1.0051012E-2,-3.5991669E-3,-3.7021637E-3,3.672533E-1,3.6312485E-1,3.716879E-1,
1570638802,2019-10-09 16:33:22.352,-4.1866302E-4,-7.844448E-3,-8.6545944E-5,-2.3818016E-3,3.7652016E-1,3.7078857E-1,3.7909317E-1,
1570638862,2019-10-09 16:34:22.352,1.9419193E-3,-5.9478283E-3,3.5524368E-4,2.3627281E-4,3.8270855E-1,3.7786198E-1,3.8512325E-1,
1570638922,2019-10-09 16:35:22.352,1.9710064E-3,-6.2909126E-3,9.405613E-4,6.0105324E-4,3.760128E-1,3.7078857E-1,3.787632E-1,
1570638982,2019-10-09 16:36:22.352,1.8584728E-3,-5.8367252E-3,7.9774857E-4,6.2179565E-4,3.7985325E-1,3.7470722E-1,3.8254833E-1,
1570639042,2019-10-09 16:37:22.352,-2.578497E-3,-1.0308981E-2,-2.737999E-3,-3.5176277E-3,3.6202526E-1,3.563776E-1,3.641081E-1,
1570639102,2019-10-09 16:38:22.354,1.3103485E-3,-6.1502457E-3,6.1511993E-4,-6.4373016E-5,3.8113594E-1,3.7557125E-1,3.8217258E-1,
1570639162,2019-10-09 16:39:22.352,-1.3041496E-4,-8.163691E-3,-9.739399E-4,-1.6288757E-3,3.6900806E-1,3.6286354E-1,3.7031746E-1,
1570639222,2019-10-09 16:40:22.352,-2.2025108E-3,-1.0156393E-2,-3.4604073E-3,-3.6153793E-3,3.6832428E-1,3.6193085E-1,3.715582E-1,
1570639282,2019-10-09 16:41:22.352,-7.092953E-4,-8.417368E-3,-1.5172958E-3,-2.0971298E-3,3.7595463E-1,3.7028313E-1,3.7784672E-1,
1570639342,2019-10-09 16:42:22.354,-2.3553371E-3,-9.66835E-3,-3.3564568E-3,-4.2436123E-3,3.6775875E-1,3.6284065E-1,3.6933422E-1,
1570639402,2019-10-09 16:43:22.352,-2.268076E-3,-9.967089E-3,-2.8848648E-3,-3.9737225E-3,3.640995E-1,3.597746E-1,3.669834E-1,
1570639462,2019-10-09 16:44:22.352,-2.317667E-3,-9.943962E-3,-3.3333302E-3,-3.6551952E-3,3.6375427E-1,3.5900307E-1,3.659563E-1,
1570639522,2019-10-09 16:45:22.354,-7.107258E-4,-8.564472E-3,-1.5795231E-3,-2.2945404E-3,3.7347603E-1,3.6868286E-1,3.7646198E-1,
1570639582,2019-10-09 16:46:22.352,-7.224083E-4,-8.523941E-3,-2.1903515E-3,-2.1073818E-3,3.7394142E-1,3.6741066E-1,3.764038E-1,
1570639642,2019-10-09 16:47:22.352,-2.2525787E-3,-1.0225773E-2,-3.84593E-3,-3.648758E-3,3.6789322E-1,3.619604E-1,3.6963558E-1,
1570639702,2019-10-09 16:48:22.352,-3.566742E-4,-7.653713E-3,-4.1270256E-4,-1.6355515E-3,3.702011E-1,3.6548233E-1,3.7395477E-1,
1570639762,2019-10-09 16:49:22.370,1.740694E-3,-5.95212E-3,1.3780594E-3,7.6293945E-5,3.810196E-1,3.7483597E-1,3.832941E-1,
1570639822,2019-10-09 16:50:22.354,-2.5892258E-3,-1.0541201E-2,-4.1685104E-3,-4.2660236E-3,3.6843586E-1,3.6220932E-1,3.7173748E-1,
1570639882,2019-10-09 16:51:22.352,-2.8073788E-3,-9.964228E-3,-4.0564537E-3,-3.8690567E-3,3.687601E-1,3.6256218E-1,3.724432E-1,
1570639942,2019-10-09 16:52:22.352,-6.2155724E-4,-8.584976E-3,-1.3759136E-3,-1.9114017E-3,3.7358856E-1,3.680954E-1,3.766222E-1,
1570640002,2019-10-09 16:53:22.352,-2.578497E-3,-1.0412216E-2,-2.9137135E-3,-3.9134026E-3,3.6353397E-1,3.5809326E-1,3.6671638E-1,
