Time(longsecs),Time(UTC),External SOH Voltage 1(V),External SOH Voltage 2(V),External SOH Voltage 3(V),External SOH Voltage 4(V),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1570611645,2019-10-09 09:00:45.722,-3.1039715E-3,-1.0452747E-2,-3.5085678E-3,-3.963709E-3,3.6982155E-1,3.6355972E-1,3.7204552E-1,
1570611705,2019-10-09 09:01:45.722,-2.3818016E-4,-8.327246E-3,-2.0711422E-3,-2.4781227E-3,3.8054085E-1,3.7428188E-1,3.8255978E-1,
1570611765,2019-10-09 09:02:45.722,-2.6946068E-3,-1.0130405E-2,-3.8142204E-3,-3.4275055E-3,3.6969566E-1,3.658352E-1,3.7432003E-1,
1570611825,2019-10-09 09:03:45.722,-2.6876926E-3,-1.0322809E-2,-3.720045E-3,-3.4368038E-3,3.7219334E-1,3.6701488E-1,3.7655735E-1,
1570611885,2019-10-09 09:04:45.722,-6.0653687E-4,-8.018494E-3,-1.1911392E-3,-1.5146732E-3,3.7782955E-1,3.7395382E-1,3.805542E-1,
1570611945,2019-10-09 09:05:45.722,1.7673969E-3,-5.717039E-3,4.8184395E-4,3.3926964E-4,3.8356495E-1,3.77347E-1,3.8601112E-1,
1570612005,2019-10-09 09:06:45.722,-2.7720928E-3,-1.0229349E-2,-3.345251E-3,-4.063368E-3,3.70656E-1,3.6390972E-1,3.7364578E-1,
1570612065,2019-10-09 09:07:45.722,1.5618801E-3,-5.3887367E-3,4.041195E-4,-2.0980835E-5,3.8416767E-1,3.7847424E-1,3.854828E-1,
1570612125,2019-10-09 09:08:45.722,-9.0789795E-4,-8.731842E-3,-2.0291805E-3,-2.1603107E-3,3.7647724E-1,3.6987686E-1,3.8009453E-1,
1570612185,2019-10-09 09:09:45.722,1.5425682E-4,-8.110762E-3,-1.5690327E-3,-1.6937256E-3,3.7796402E-1,3.728161E-1,3.8258362E-1,
1570612245,2019-10-09 09:10:45.722,-3.3783913E-4,-7.716179E-3,-1.4970303E-3,-1.7168522E-3,3.775053E-1,3.714161E-1,3.7972736E-1,
1570612305,2019-10-09 09:11:45.722,1.3637543E-3,-5.75161E-3,7.483959E-4,2.6535988E-4,3.839426E-1,3.77532E-1,3.8834476E-1,
1570612365,2019-10-09 09:12:45.722,-3.9315224E-4,-8.018494E-3,-1.7082691E-3,-1.6994476E-3,3.7740326E-1,3.7280655E-1,3.8087177E-1,
1570612425,2019-10-09 09:13:45.722,1.1079311E-3,-6.296873E-3,4.117489E-4,1.6450882E-4,3.8419342E-1,3.7945938E-1,3.8649368E-1,
1570612485,2019-10-09 09:14:45.722,-5.469322E-4,-8.224726E-3,-1.6434193E-3,-2.1765232E-3,3.7806225E-1,3.7219048E-1,3.8170528E-1,
1570612545,2019-10-09 09:15:45.724,1.8837452E-3,-5.795479E-3,5.991459E-4,2.1457672E-6,3.834219E-1,3.7874985E-1,3.8775444E-1,
1570612605,2019-10-09 09:16:45.722,-2.632141E-4,-7.764101E-3,-1.2054443E-3,-1.3799667E-3,3.8363934E-1,3.7874126E-1,3.8720512E-1,
1570612665,2019-10-09 09:17:45.722,1.3511181E-3,-5.6905746E-3,5.5217743E-4,3.3569336E-4,3.839035E-1,3.8123512E-1,3.894167E-1,
1570612725,2019-10-09 09:18:45.722,-1.9431114E-4,-7.721424E-3,-1.1372566E-3,-1.4567375E-3,3.7862396E-1,3.741188E-1,3.8073254E-1,
1570612785,2019-10-09 09:19:45.723,-1.2075901E-3,-8.3835125E-3,-2.0275116E-3,-2.2785664E-3,3.7796783E-1,3.717394E-1,3.8016033E-1,
1570612845,2019-10-09 09:20:45.722,-2.516985E-3,-1.05240345E-2,-3.3566952E-3,-4.575491E-3,3.7232494E-1,3.6746883E-1,3.7388706E-1,
1570612905,2019-10-09 09:21:45.722,5.6505203E-5,-7.086754E-3,-1.8210411E-3,-2.257824E-3,3.78191E-1,3.7339973E-1,3.813696E-1,
1570612965,2019-10-09 09:22:45.751,-2.925396E-4,-8.356333E-3,-1.8210411E-3,-2.0275116E-3,3.786564E-1,3.7696266E-1,3.8233948E-1,
1570613025,2019-10-09 09:23:45.754,1.5983582E-3,-6.346941E-3,5.5480003E-4,1.4305115E-5,3.847046E-1,3.7916565E-1,3.8662815E-1,
1570613085,2019-10-09 09:24:45.722,1.8730164E-3,-5.9199333E-3,4.506111E-4,6.427765E-4,3.854599E-1,3.8286018E-1,3.8895798E-1,
1570613145,2019-10-09 09:25:45.722,-2.5138855E-3,-1.0116339E-2,-3.3304691E-3,-3.6392212E-3,3.6942005E-1,3.6542225E-1,3.7216854E-1,
1570613205,2019-10-09 09:26:45.722,-9.4246864E-4,-8.460283E-3,-1.5535355E-3,-2.2075176E-3,3.7260437E-1,3.6840916E-1,3.7466526E-1,
1570613265,2019-10-09 09:27:45.723,-2.9513836E-3,-1.0258675E-2,-3.431797E-3,-4.07815E-3,3.7337017E-1,3.6614895E-1,3.7426567E-1,
1570613325,2019-10-09 09:28:45.725,-6.303787E-4,-8.241653E-3,-1.5444756E-3,-2.2280216E-3,3.7756824E-1,3.7292385E-1,3.8144112E-1,
1570613385,2019-10-09 09:29:45.722,-2.4733543E-3,-1.0439873E-2,-3.3524036E-3,-3.8616657E-3,3.7430096E-1,3.6904526E-1,3.7605286E-1,
1570613445,2019-10-09 09:30:45.722,-2.6011467E-4,-7.4105263E-3,-1.4503002E-3,-1.7514229E-3,3.7866879E-1,3.7175846E-1,3.8160706E-1,
1570613505,2019-10-09 09:31:45.722,2.042532E-3,-6.033659E-3,4.272461E-4,4.4345856E-5,3.83276E-1,3.7884617E-1,3.8486576E-1,
1570613565,2019-10-09 09:32:45.722,-2.0563602E-3,-1.0144234E-2,-3.209114E-3,-4.096508E-3,3.6934853E-1,3.652296E-1,3.724022E-1,
1570613625,2019-10-09 09:33:45.722,-2.579689E-4,-8.813858E-3,-1.6806126E-3,-1.4419556E-3,3.77841E-1,3.7316036E-1,3.798561E-1,
1570613685,2019-10-09 09:34:45.722,-2.9349327E-4,-7.5261593E-3,-1.0302067E-3,-1.3561249E-3,3.7768936E-1,3.737688E-1,3.799591E-1,
1570613745,2019-10-09 09:35:45.722,-1.9192696E-4,-8.258104E-3,-1.1637211E-3,-1.6450882E-3,3.7793732E-1,3.731575E-1,3.8099194E-1,
1570613805,2019-10-09 09:36:45.722,-6.210804E-4,-8.786917E-3,-1.6903877E-3,-2.0403862E-3,3.7493706E-1,3.6789036E-1,3.7966728E-1,
1570613865,2019-10-09 09:37:45.722,1.6937256E-3,-5.5127144E-3,4.374981E-4,1.18255615E-4,3.872013E-1,3.807335E-1,3.885336E-1,
1570613925,2019-10-09 09:38:45.746,2.2268295E-4,-7.172346E-3,-1.0421276E-3,-1.0924339E-3,3.748932E-1,3.6984634E-1,3.7702274E-1,
1570613985,2019-10-09 09:39:45.722,-2.6919842E-3,-9.980202E-3,-3.7858486E-3,-3.9057732E-3,3.6943626E-1,3.628435E-1,3.724022E-1,
1570614045,2019-10-09 09:40:45.722,1.6543865E-3,-6.2525272E-3,5.545616E-4,3.0589104E-4,3.8433647E-1,3.8029766E-1,3.8577843E-1,
1570614105,2019-10-09 09:41:45.722,-6.4349174E-4,-8.663416E-3,-2.1355152E-3,-1.995802E-3,3.7784004E-1,3.721447E-1,3.8071442E-1,
1570614165,2019-10-09 09:42:45.722,-2.2799969E-3,-1.0041237E-2,-3.369093E-3,-4.2517185E-3,3.716774E-1,3.6682987E-1,3.7447357E-1,
1570614225,2019-10-09 09:43:45.722,9.536743E-4,-6.126642E-3,2.2816658E-4,-7.1287155E-5,3.8645935E-1,3.8093567E-1,3.8809872E-1,
1570614285,2019-10-09 09:44:45.722,-9.5415115E-4,-8.513927E-3,-1.635313E-3,-2.0620823E-3,3.7636948E-1,3.7315464E-1,3.7919044E-1,
1570614345,2019-10-09 09:45:45.722,-2.6831627E-3,-1.008606E-2,-3.8154125E-3,-4.379034E-3,3.7146664E-1,3.6680317E-1,3.738823E-1,
1570614405,2019-10-09 09:46:45.722,-1.0004044E-3,-8.173466E-3,-1.8672943E-3,-1.8160343E-3,3.746786E-1,3.707056E-1,3.7819386E-1,
1570614465,2019-10-09 09:47:45.723,1.7540455E-3,-5.916834E-3,6.802082E-4,4.925728E-4,3.8227558E-1,3.7694645E-1,3.8519573E-1,
1570614525,2019-10-09 09:48:45.751,-3.6287308E-4,-7.982016E-3,-1.5649796E-3,-1.5304089E-3,3.7721062E-1,3.726921E-1,3.803444E-1,
1570614585,2019-10-09 09:49:45.722,1.4853477E-4,-7.6179504E-3,-9.2339516E-4,-1.3098717E-3,3.8163948E-1,3.740301E-1,3.8424587E-1,
1570614645,2019-10-09 09:50:45.722,-2.6631355E-4,-7.863998E-3,-1.2836456E-3,-1.398325E-3,3.7856197E-1,3.7401104E-1,3.8152313E-1,
1570614705,2019-10-09 09:51:45.722,1.6789436E-3,-6.244898E-3,5.867481E-4,-6.9856644E-5,3.875847E-1,3.8076591E-1,3.873577E-1,
1570614765,2019-10-09 09:52:45.722,-2.7570724E-3,-1.0116339E-2,-3.581047E-3,-4.3587685E-3,3.7115192E-1,3.673296E-1,3.7388515E-1,
