Time(longsecs),Time(UTC),External SOH Voltage 1(V),External SOH Voltage 2(V),External SOH Voltage 3(V),External SOH Voltage 4(V),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1570312845,2019-10-05 22:00:45.722,6.0796738E-5,-7.650852E-3,-1.8160343E-3,-1.3468266E-3,3.5954762E-1,3.541355E-1,3.6081123E-1,
1570312905,2019-10-05 22:01:45.722,1.9645691E-4,-8.270502E-3,-1.0852814E-3,-1.812458E-3,3.5811043E-1,3.5553646E-1,3.6100864E-1,
1570312965,2019-10-05 22:02:45.722,-2.3741722E-3,-9.371042E-3,-3.4434795E-3,-4.340172E-3,3.5403728E-1,3.5245705E-1,3.621521E-1,
1570313025,2019-10-05 22:03:45.722,-5.824566E-4,-9.138584E-3,-2.7751923E-4,-2.054453E-3,3.588333E-1,3.5419464E-1,3.6464882E-1,
1570313085,2019-10-05 22:04:45.722,-2.3956299E-3,-1.0247707E-2,-2.5894642E-3,-4.104376E-3,3.5449982E-1,3.4928417E-1,3.6121655E-1,
1570313145,2019-10-05 22:05:45.722,-7.007122E-4,-7.884502E-3,-1.1529922E-3,-1.4090538E-3,3.6086082E-1,3.5517693E-1,3.635025E-1,
1570313205,2019-10-05 22:06:45.723,-2.4716854E-3,-9.895325E-3,-3.4518242E-3,-4.0183067E-3,3.5632038E-1,3.4864902E-1,3.5860443E-1,
1570313265,2019-10-05 22:07:45.722,-1.938343E-4,-7.368088E-3,-2.2554398E-3,-1.4541149E-3,3.631525E-1,3.5355186E-1,3.6585236E-1,
1570313325,2019-10-05 22:08:45.722,1.4503002E-3,-5.768299E-3,3.669262E-4,-1.5163422E-4,3.711939E-1,3.6270142E-1,3.7581062E-1,
1570313385,2019-10-05 22:09:45.722,7.8201294E-5,-7.534504E-3,-9.937286E-4,-1.3253689E-3,3.600645E-1,3.53899E-1,3.6401272E-1,
1570313445,2019-10-05 22:10:45.722,-9.548664E-4,-7.37381E-3,-1.5451908E-3,-2.2528172E-3,3.6037636E-1,3.5576344E-1,3.6279678E-1,
1570313505,2019-10-05 22:11:45.722,-1.1861324E-3,-8.234739E-3,-2.2716522E-3,-2.010107E-3,3.5708904E-1,3.5067844E-1,3.533182E-1,
1570313565,2019-10-05 22:12:45.722,-7.9774857E-4,-7.5645447E-3,-1.2454987E-3,-1.604557E-3,3.6153984E-1,3.598175E-1,3.6636734E-1,
1570313625,2019-10-05 22:13:45.722,-2.1386147E-4,-7.984638E-3,-2.0291805E-3,-1.3222694E-3,3.6163616E-1,3.53508E-1,3.6168098E-1,
1570313685,2019-10-05 22:14:45.722,-2.8295517E-3,-9.793758E-3,-3.2246113E-3,-4.8191547E-3,3.5503674E-1,3.482294E-1,3.570013E-1,
1570313745,2019-10-05 22:15:45.723,1.7774105E-3,-6.1221123E-3,3.8027763E-4,-3.4976006E-4,3.6312103E-1,3.5830402E-1,3.6730385E-1,
1570313805,2019-10-05 22:16:45.722,-3.4906864E-3,-1.0287762E-2,-3.5698414E-3,-3.85952E-3,3.5249424E-1,3.4395218E-1,3.5497856E-1,
1570313865,2019-10-05 22:17:45.722,1.8830299E-3,-4.69923E-3,8.7571144E-4,2.0143986E-3,3.672123E-1,3.5622692E-1,3.6517906E-1,
1570313925,2019-10-05 22:18:45.722,7.727146E-4,-7.3132515E-3,-1.0018349E-3,-1.5735626E-4,3.6342812E-1,3.5882664E-1,3.6630344E-1,
1570313985,2019-10-05 22:19:45.722,1.5900135E-3,-6.942272E-3,1.0533333E-3,6.272793E-4,3.6908436E-1,3.6428452E-1,3.78438E-1,
