Time(longsecs),Time(UTC),Earth Location,GPS Receiver Status,GPS Satellites Used,GPS PDOP,GPS TDOP,Timing Status,Timing Phase Lock,Timing Uncertainty(ns),DAC Count,Timing Error(ns),GPS Last Update Time,
1570388445,2019-10-06 19:00:45.722,57.990624N 10.574460E 208m,Doing fixes,6,2.7140338E0,1.7008663E0,Time OK,Fine lock,100,9116,0,2019-10-06 19:00:42.000000000,
1570388505,2019-10-06 19:01:45.722,57.990644N 10.574504E 207m,Doing fixes,6,2.692673E0,1.6843551E0,Time OK,Fine lock,100,9085,208,2019-10-06 19:01:42.000000000,
1570388565,2019-10-06 19:02:45.723,57.990644N 10.574499E 209m,Doing fixes,5,4.3227596E0,3.137221E0,Time OK,Fine lock,100,9106,104,2019-10-06 19:02:42.000000000,
1570388625,2019-10-06 19:03:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,300,9107,0,2019-10-06 19:03:22.000000000,
1570388685,2019-10-06 19:04:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,1300,9107,0,2019-10-06 19:03:22.000000000,
1570388745,2019-10-06 19:05:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,2200,9107,0,2019-10-06 19:03:22.000000000,
1570388805,2019-10-06 19:06:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,3300,9107,0,2019-10-06 19:03:22.000000000,
1570388865,2019-10-06 19:07:45.723,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,4600,9107,0,2019-10-06 19:03:22.000000000,
1570388925,2019-10-06 19:08:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,5700,9107,0,2019-10-06 19:03:22.000000000,
1570388985,2019-10-06 19:09:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,6900,9107,0,2019-10-06 19:03:22.000000000,
1570389045,2019-10-06 19:10:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,8200,9107,0,2019-10-06 19:03:22.000000000,
1570389105,2019-10-06 19:11:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,9200,9107,0,2019-10-06 19:03:22.000000000,
1570389165,2019-10-06 19:12:45.724,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,10300,9107,0,2019-10-06 19:03:22.000000000,
1570389225,2019-10-06 19:13:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,11800,9107,0,2019-10-06 19:03:22.000000000,
1570389285,2019-10-06 19:14:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,13200,9107,0,2019-10-06 19:03:22.000000000,
1570389345,2019-10-06 19:15:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,14700,9107,0,2019-10-06 19:03:22.000000000,
1570389405,2019-10-06 19:16:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,16500,9107,0,2019-10-06 19:03:22.000000000,
1570389465,2019-10-06 19:17:45.723,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,18000,9107,0,2019-10-06 19:03:22.000000000,
1570389525,2019-10-06 19:18:45.740,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,19600,9107,0,2019-10-06 19:03:22.000000000,
1570389585,2019-10-06 19:19:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,21700,9107,0,2019-10-06 19:03:22.000000000,
1570389645,2019-10-06 19:20:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,23500,9107,0,2019-10-06 19:03:22.000000000,
1570389705,2019-10-06 19:21:45.755,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,25000,9107,0,2019-10-06 19:03:22.000000000,
1570389765,2019-10-06 19:22:45.723,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,26800,9107,0,2019-10-06 19:03:22.000000000,
1570389825,2019-10-06 19:23:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,28700,9107,0,2019-10-06 19:03:22.000000000,
1570389885,2019-10-06 19:24:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,30600,9107,0,2019-10-06 19:03:22.000000000,
1570389945,2019-10-06 19:25:45.722,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,32600,9107,0,2019-10-06 19:03:22.000000000,
1570390005,2019-10-06 19:26:45.754,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,34700,9107,0,2019-10-06 19:03:22.000000000,
1570390065,2019-10-06 19:27:45.723,57.990652N 10.574507E 195m,Off,5,4.3141994E0,3.1311724E0,Time OK,Free running,37100,9107,0,2019-10-06 19:03:22.000000000,
