Time(longsecs),Time(UTC),Earth Location,GPS Receiver Status,GPS Satellites Used,GPS PDOP,GPS TDOP,Timing Status,Timing Phase Lock,Timing Uncertainty(ns),DAC Count,Timing Error(ns),GPS Last Update Time,
1570363245,2019-10-06 12:00:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,5700,9380,0,2019-10-06 11:55:42.000000000,
1570363305,2019-10-06 12:01:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,7200,9380,0,2019-10-06 11:55:42.000000000,
1570363365,2019-10-06 12:02:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,8800,9380,0,2019-10-06 11:55:42.000000000,
1570363425,2019-10-06 12:03:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,10900,9380,0,2019-10-06 11:55:42.000000000,
1570363485,2019-10-06 12:04:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,13400,9380,0,2019-10-06 11:55:42.000000000,
1570363545,2019-10-06 12:05:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,16000,9380,0,2019-10-06 11:55:42.000000000,
1570363605,2019-10-06 12:06:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,18800,9380,0,2019-10-06 11:55:42.000000000,
1570363665,2019-10-06 12:07:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,21600,9380,0,2019-10-06 11:55:42.000000000,
1570363725,2019-10-06 12:08:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,24400,9380,0,2019-10-06 11:55:42.000000000,
1570363785,2019-10-06 12:09:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,27700,9380,0,2019-10-06 11:55:42.000000000,
1570363845,2019-10-06 12:10:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,31000,9380,0,2019-10-06 11:55:42.000000000,
1570363905,2019-10-06 12:11:45.739,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,34300,9380,0,2019-10-06 11:55:42.000000000,
1570363965,2019-10-06 12:12:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,37900,9380,0,2019-10-06 11:55:42.000000000,
1570364025,2019-10-06 12:13:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,41800,9380,0,2019-10-06 11:55:42.000000000,
1570364085,2019-10-06 12:14:45.724,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,45900,9380,0,2019-10-06 11:55:42.000000000,
1570364145,2019-10-06 12:15:45.722,57.990616N 10.574584E 190m,Off,8,2.8335621E0,1.8405763E0,Time OK,Free running,50300,9380,0,2019-10-06 11:55:42.000000000,
1570364205,2019-10-06 12:16:45.722,57.990616N 10.574584E 190m,No GPS time,8,2.8335621E0,1.8405763E0,Time OK,Free running,55000,9380,0,2019-10-06 11:55:42.000000000,
1570364265,2019-10-06 12:17:45.723,57.990620N 10.574462E 184m,Doing fixes,7,3.7590573E0,2.594043E0,Time OK,Coarse lock,100,9525,104,2019-10-06 12:17:42.000000000,
1570364325,2019-10-06 12:18:45.722,57.990632N 10.574540E 185m,Doing fixes,8,3.5723197E0,2.532385E0,Time OK,Fine lock,100,9462,0,2019-10-06 12:18:42.000000000,
1570364385,2019-10-06 12:19:45.725,57.990628N 10.574549E 187m,Doing fixes,7,3.7917733E0,2.7069728E0,Time OK,Fine lock,100,9465,0,2019-10-06 12:19:42.000000000,
1570364445,2019-10-06 12:20:45.724,57.990632N 10.574551E 186m,Off,8,3.5606005E0,2.5270858E0,Time OK,Free running,500,9467,0,2019-10-06 12:20:12.000000000,
1570364505,2019-10-06 12:21:45.722,57.990632N 10.574551E 186m,Off,8,3.5606005E0,2.5270858E0,Time OK,Free running,1300,9467,0,2019-10-06 12:20:12.000000000,
1570364565,2019-10-06 12:22:45.722,57.990632N 10.574551E 186m,Off,8,3.5606005E0,2.5270858E0,Time OK,Free running,2300,9467,0,2019-10-06 12:20:12.000000000,
1570364625,2019-10-06 12:23:45.722,57.990632N 10.574551E 186m,Off,8,3.5606005E0,2.5270858E0,Time OK,Free running,3800,9467,0,2019-10-06 12:20:12.000000000,
1570364685,2019-10-06 12:24:45.722,57.990632N 10.574551E 186m,Off,8,3.5606005E0,2.5270858E0,Time OK,Free running,5300,9467,0,2019-10-06 12:20:12.000000000,
1570364745,2019-10-06 12:25:45.722,57.990632N 10.574551E 186m,Off,8,3.5606005E0,2.5270858E0,Time OK,Free running,6600,9467,0,2019-10-06 12:20:12.000000000,
1570364805,2019-10-06 12:26:45.722,57.990632N 10.574551E 186m,Off,8,3.5606005E0,2.5270858E0,Time OK,Free running,8100,9467,0,2019-10-06 12:20:12.000000000,
