Time(longsecs),Time(UTC),GPS Satellite Acquisition Flag 1,GPS Satellite Acquisition Flag 2,GPS Satellite Acquisition Flag 3,GPS Satellite Acquisition Flag 4,GPS Satellite Acquisition Flag 5,GPS Satellite Acquisition Flag 6,GPS Satellite Acquisition Flag 7,GPS Satellite Acquisition Flag 8,GPS Satellite Acquisition Flag 9,GPS Satellite Acquisition Flag 10,GPS Satellite Acquisition Flag 11,GPS Satellite Acquisition Flag 12,GPS Satellite Azimuth 1(Degrees),GPS Satellite Azimuth 2(Degrees),GPS Satellite Azimuth 3(Degrees),GPS Satellite Azimuth 4(Degrees),GPS Satellite Azimuth 5(Degrees),GPS Satellite Azimuth 6(Degrees),GPS Satellite Azimuth 7(Degrees),GPS Satellite Azimuth 8(Degrees),GPS Satellite Azimuth 9(Degrees),GPS Satellite Azimuth 10(Degrees),GPS Satellite Azimuth 11(Degrees),GPS Satellite Azimuth 12(Degrees),GPS Satellite Elevation 1(Degrees),GPS Satellite Elevation 2(Degrees),GPS Satellite Elevation 3(Degrees),GPS Satellite Elevation 4(Degrees),GPS Satellite Elevation 5(Degrees),GPS Satellite Elevation 6(Degrees),GPS Satellite Elevation 7(Degrees),GPS Satellite Elevation 8(Degrees),GPS Satellite Elevation 9(Degrees),GPS Satellite Elevation 10(Degrees),GPS Satellite Elevation 11(Degrees),GPS Satellite Elevation 12(Degrees),GPS Satellite PRN 1,GPS Satellite PRN 2,GPS Satellite PRN 3,GPS Satellite PRN 4,GPS Satellite PRN 5,GPS Satellite PRN 6,GPS Satellite PRN 7,GPS Satellite PRN 8,GPS Satellite PRN 9,GPS Satellite PRN 10,GPS Satellite PRN 11,GPS Satellite PRN 12,GPS Satellite Signal Level 1(AMU),GPS Satellite Signal Level 2(AMU),GPS Satellite Signal Level 3(AMU),GPS Satellite Signal Level 4(AMU),GPS Satellite Signal Level 5(AMU),GPS Satellite Signal Level 6(AMU),GPS Satellite Signal Level 7(AMU),GPS Satellite Signal Level 8(AMU),GPS Satellite Signal Level 9(AMU),GPS Satellite Signal Level 10(AMU),GPS Satellite Signal Level 11(AMU),GPS Satellite Signal Level 12(AMU),
1570089645,2019-10-03 08:00:45.722,Not acquired,Acquired,Acquired,Not acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Not acquired,Not acquired,Not acquired,2.52214112E2,3.00885024E2,8.572629599999999E1,2.7368643199999997E2,1.7867726399999998E2,2.57079936E2,5.6014264E1,1.1390315199999999E2,2.80139488E2,7.1661208E1,3.1034848E2,1.25527456E2,1.4875126E1,6.3646435999999994E1,5.6988583999999996E1,2.0954416E1,2.5809866E1,3.7165003999999996E1,3.5595048E1,7.3919288E1,8.018241999999999E0,1.2241256E1,8.505352E0,6.8064659999999995E0,1,8,10,11,16,18,20,27,7,21,30,32,1,8,11,1,6,15,4,15,0,0,0,0,
1570089705,2019-10-03 08:01:45.722,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Acquired,Not acquired,Not acquired,Not acquired,Not acquired,2.5247803199999998E2,3.0087504E2,8.4894256E1,2.7390943999999996E2,1.7865536E2,2.57386448E2,5.5752036E1,1.14608864E2,2.7977628799999997E2,7.186257599999999E1,3.0995472E2,1.25258704E2,1.5250076E1,6.410441999999999E1,5.687862E1,2.1325808E1,2.5352867999999997E1,3.757458E1,3.523836E1,7.3466568E1,7.786792999999999E0,1.1895793999999999E1,8.430836E0,7.139526E0,1,8,10,11,16,18,20,27,7,21,30,32,5,8,12,5,7,14,1,15,0,0,0,0,
1570089765,2019-10-03 08:02:45.722,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Acquired,Not acquired,Not acquired,Not acquired,Not acquired,2.5247803199999998E2,3.0087504E2,8.4894256E1,2.7390943999999996E2,1.7865536E2,2.57386448E2,5.5752036E1,1.14608864E2,2.7977628799999997E2,7.186257599999999E1,3.0995472E2,1.25258704E2,1.5250076E1,6.410441999999999E1,5.687862E1,2.1325808E1,2.5352867999999997E1,3.757458E1,3.523836E1,7.3466568E1,7.786792999999999E0,1.1895793999999999E1,8.430836E0,7.139526E0,1,8,10,11,16,18,20,27,7,21,30,32,5,8,12,5,7,14,1,15,0,0,0,0,
1570089825,2019-10-03 08:03:45.722,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Acquired,Not acquired,Not acquired,Not acquired,Not acquired,2.5247803199999998E2,3.0087504E2,8.4894256E1,2.7390943999999996E2,1.7865536E2,2.57386448E2,5.5752036E1,1.14608864E2,2.7977628799999997E2,7.186257599999999E1,3.0995472E2,1.25258704E2,1.5250076E1,6.410441999999999E1,5.687862E1,2.1325808E1,2.5352867999999997E1,3.757458E1,3.523836E1,7.3466568E1,7.786792999999999E0,1.1895793999999999E1,8.430836E0,7.139526E0,1,8,10,11,16,18,20,27,7,21,30,32,5,8,12,5,7,14,1,15,0,0,0,0,
1570089885,2019-10-03 08:04:45.722,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Acquired,Not acquired,Not acquired,Not acquired,Not acquired,2.5247803199999998E2,3.0087504E2,8.4894256E1,2.7390943999999996E2,1.7865536E2,2.57386448E2,5.5752036E1,1.14608864E2,2.7977628799999997E2,7.186257599999999E1,3.0995472E2,1.25258704E2,1.5250076E1,6.410441999999999E1,5.687862E1,2.1325808E1,2.5352867999999997E1,3.757458E1,3.523836E1,7.3466568E1,7.786792999999999E0,1.1895793999999999E1,8.430836E0,7.139526E0,1,8,10,11,16,18,20,27,7,21,30,32,5,8,12,5,7,14,1,15,0,0,0,0,
1570089945,2019-10-03 08:05:45.724,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Acquired,Not acquired,Not acquired,Not acquired,Not acquired,2.5247803199999998E2,3.0087504E2,8.4894256E1,2.7390943999999996E2,1.7865536E2,2.57386448E2,5.5752036E1,1.14608864E2,2.7977628799999997E2,7.186257599999999E1,3.0995472E2,1.25258704E2,1.5250076E1,6.410441999999999E1,5.687862E1,2.1325808E1,2.5352867999999997E1,3.757458E1,3.523836E1,7.3466568E1,7.786792999999999E0,1.1895793999999999E1,8.430836E0,7.139526E0,1,8,10,11,16,18,20,27,7,21,30,32,5,8,12,5,7,14,1,15,0,0,0,0,
1570090005,2019-10-03 08:06:45.722,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Acquired,Not acquired,Not acquired,Not acquired,Not acquired,2.5247803199999998E2,3.0087504E2,8.4894256E1,2.7390943999999996E2,1.7865536E2,2.57386448E2,5.5752036E1,1.14608864E2,2.7977628799999997E2,7.186257599999999E1,3.0995472E2,1.25258704E2,1.5250076E1,6.410441999999999E1,5.687862E1,2.1325808E1,2.5352867999999997E1,3.757458E1,3.523836E1,7.3466568E1,7.786792999999999E0,1.1895793999999999E1,8.430836E0,7.139526E0,1,8,10,11,16,18,20,27,7,21,30,32,5,8,12,5,7,14,1,15,0,0,0,0,
1570090065,2019-10-03 08:07:45.722,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Acquired,Not acquired,Not acquired,Not acquired,Not acquired,2.5247803199999998E2,3.0087504E2,8.4894256E1,2.7390943999999996E2,1.7865536E2,2.57386448E2,5.5752036E1,1.14608864E2,2.7977628799999997E2,7.186257599999999E1,3.0995472E2,1.25258704E2,1.5250076E1,6.410441999999999E1,5.687862E1,2.1325808E1,2.5352867999999997E1,3.757458E1,3.523836E1,7.3466568E1,7.786792999999999E0,1.1895793999999999E1,8.430836E0,7.139526E0,1,8,10,11,16,18,20,27,7,21,30,32,5,8,12,5,7,14,1,15,0,0,0,0,
1570090125,2019-10-03 08:08:45.722,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Acquired,Not acquired,Not acquired,Not acquired,Not acquired,2.5247803199999998E2,3.0087504E2,8.4894256E1,2.7390943999999996E2,1.7865536E2,2.57386448E2,5.5752036E1,1.14608864E2,2.7977628799999997E2,7.186257599999999E1,3.0995472E2,1.25258704E2,1.5250076E1,6.410441999999999E1,5.687862E1,2.1325808E1,2.5352867999999997E1,3.757458E1,3.523836E1,7.3466568E1,7.786792999999999E0,1.1895793999999999E1,8.430836E0,7.139526E0,1,8,10,11,16,18,20,27,7,21,30,32,5,8,12,5,7,14,1,15,0,0,0,0,
1570090185,2019-10-03 08:09:45.722,Acquired,Acquired,Acquired,Acquired,Acquired,Acquired,Not acquired,Acquired,Not acquired,Not acquired,Not acquired,Not acquired,2.5247803199999998E2,3.0087504E2,8.4894256E1,2.7390943999999996E2,1.7865536E2,2.57386448E2,5.5752036E1,1.14608864E2,2.7977628799999997E2,7.186257599999999E1,3.0995472E2,1.25258704E2,1.5250076E1,6.410441999999999E1,5.687862E1,2.1325808E1,2.5352867999999997E1,3.757458E1,3.523836E1,7.3466568E1,7.786792999999999E0,1.1895793999999999E1,8.430836E0,7.139526E0,1,8,10,11,16,18,20,27,7,21,30,32,5,8,12,5,7,14,1,15,0,0,0,0,
