Time(longsecs),Time(UTC),Earth Location,GPS Receiver Status,GPS Satellites Used,GPS PDOP,GPS TDOP,Timing Status,Timing Phase Lock,Timing Uncertainty(ns),DAC Count,Timing Error(ns),GPS Last Update Time,
1570068045,2019-10-03 02:00:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,3800,8793,0,2019-10-03 01:56:22.000000000,
1570068105,2019-10-03 02:01:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,4600,8793,0,2019-10-03 01:56:22.000000000,
1570068165,2019-10-03 02:02:45.724,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,5500,8793,0,2019-10-03 01:56:22.000000000,
1570068225,2019-10-03 02:03:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,6400,8793,0,2019-10-03 01:56:22.000000000,
1570068285,2019-10-03 02:04:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,7400,8793,0,2019-10-03 01:56:22.000000000,
1570068345,2019-10-03 02:05:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,8700,8793,0,2019-10-03 01:56:22.000000000,
1570068405,2019-10-03 02:06:45.725,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,9800,8793,0,2019-10-03 01:56:22.000000000,
1570068465,2019-10-03 02:07:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,10800,8793,0,2019-10-03 01:56:22.000000000,
1570068525,2019-10-03 02:08:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,11800,8793,0,2019-10-03 01:56:22.000000000,
1570068585,2019-10-03 02:09:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,12700,8793,0,2019-10-03 01:56:22.000000000,
1570068645,2019-10-03 02:10:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,13500,8793,0,2019-10-03 01:56:22.000000000,
1570068705,2019-10-03 02:11:45.754,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,14400,8793,0,2019-10-03 01:56:22.000000000,
1570068765,2019-10-03 02:12:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,15500,8793,0,2019-10-03 01:56:22.000000000,
1570068825,2019-10-03 02:13:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,16600,8793,0,2019-10-03 01:56:22.000000000,
1570068885,2019-10-03 02:14:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,17800,8793,0,2019-10-03 01:56:22.000000000,
1570068945,2019-10-03 02:15:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,19000,8793,0,2019-10-03 01:56:22.000000000,
1570069005,2019-10-03 02:16:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,20100,8793,0,2019-10-03 01:56:22.000000000,
1570069065,2019-10-03 02:17:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,21300,8793,0,2019-10-03 01:56:22.000000000,
1570069125,2019-10-03 02:18:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,22600,8793,0,2019-10-03 01:56:22.000000000,
1570069185,2019-10-03 02:19:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,23900,8793,0,2019-10-03 01:56:22.000000000,
1570069245,2019-10-03 02:20:45.724,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,25200,8793,0,2019-10-03 01:56:22.000000000,
1570069305,2019-10-03 02:21:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,26700,8793,0,2019-10-03 01:56:22.000000000,
1570069365,2019-10-03 02:22:45.724,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,28000,8793,0,2019-10-03 01:56:22.000000000,
1570069425,2019-10-03 02:23:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,29300,8793,0,2019-10-03 01:56:22.000000000,
1570069485,2019-10-03 02:24:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,30700,8793,0,2019-10-03 01:56:22.000000000,
1570069545,2019-10-03 02:25:45.722,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,32100,8793,0,2019-10-03 01:56:22.000000000,
1570069605,2019-10-03 02:26:45.723,57.990588N 10.574478E 199m,Off,6,2.661292E0,10.5220822E0,Time OK,Free running,33400,8793,0,2019-10-03 01:56:22.000000000,
