Time(longsecs),Time(UTC),External SOH Voltage 1(V),External SOH Voltage 2(V),External SOH Voltage 3(V),External SOH Voltage 4(V),Sensor SOH Voltage 1(V),Sensor SOH Voltage 2(V),Sensor SOH Voltage 3(V),
1570136445,2019-10-03 21:00:45.734,-2.2091866E-3,-1.0078907E-2,-3.4120083E-3,-3.884077E-3,3.6205292E-1,3.565302E-1,3.639536E-1,
1570136505,2019-10-03 21:01:45.722,1.3034344E-3,-6.301403E-3,6.992817E-4,5.083084E-4,3.767357E-1,3.7164974E-1,3.779564E-1,
1570136565,2019-10-03 21:02:45.722,-2.6369095E-4,-8.051395E-3,-1.2686253E-3,-1.3561249E-3,3.684225E-1,3.6302757E-1,3.6992264E-1,
1570136625,2019-10-03 21:03:45.722,-1.15156174E-4,-7.8012943E-3,-1.1792183E-3,-1.6739368E-3,3.6824512E-1,3.6329746E-1,3.700676E-1,
1570136685,2019-10-03 21:04:45.722,-2.248764E-3,-1.0520935E-2,-3.6613941E-3,-4.2788982E-3,3.612318E-1,3.5657406E-1,3.6439705E-1,
1570136745,2019-10-03 21:05:45.722,-2.3231506E-3,-9.910822E-3,-3.7853718E-3,-4.11129E-3,3.6084843E-1,3.566637E-1,3.6539173E-1,
1570136805,2019-10-03 21:06:45.722,-8.9144707E-4,-8.687258E-3,-2.0608902E-3,-2.392292E-3,3.701744E-1,3.6379623E-1,3.724413E-1,
1570136865,2019-10-03 21:07:45.722,6.175041E-5,-7.6196194E-3,-1.0581017E-3,-1.6789436E-3,3.6916637E-1,3.6338043E-1,3.7175274E-1,
1570136925,2019-10-03 21:08:45.724,-1.0142326E-3,-8.431435E-3,-1.7313957E-3,-1.8348694E-3,3.6825466E-1,3.625412E-1,3.6892033E-1,
1570136985,2019-10-03 21:09:45.722,-7.238388E-4,-7.5774193E-3,-1.3267994E-3,-1.6722679E-3,3.6724854E-1,3.633747E-1,3.702011E-1,
1570137045,2019-10-03 21:10:45.722,-2.5236607E-3,-9.75585E-3,-3.3934116E-3,-4.0898323E-3,3.6056805E-1,3.550501E-1,3.6343002E-1,
1570137105,2019-10-03 21:11:45.722,2.837181E-4,-8.028269E-3,-7.1287155E-4,-1.2280941E-3,3.711605E-1,3.636036E-1,3.739786E-1,
1570137165,2019-10-03 21:12:45.722,1.9133091E-3,-6.079912E-3,4.3296814E-4,3.2639503E-4,3.7413788E-1,3.6981106E-1,3.7752056E-1,
1570137225,2019-10-03 21:13:45.722,-2.94137E-3,-1.0325432E-2,-3.673792E-3,-4.4002533E-3,3.61598E-1,3.564415E-1,3.6472797E-1,
1570137285,2019-10-03 21:14:45.722,-7.741451E-4,-8.7509155E-3,-1.9664764E-3,-2.4988651E-3,3.6695385E-1,3.6141396E-1,3.6904144E-1,
1570137345,2019-10-03 21:15:45.761,1.5766621E-3,-5.5775642E-3,4.911423E-4,5.9986115E-4,3.757763E-1,3.709345E-1,3.776369E-1,
