Time(longsecs),Time(UTC),Earth Location,GPS Receiver Status,GPS Satellites Used,GPS PDOP,GPS TDOP,Timing Status,Timing Phase Lock,Timing Uncertainty(ns),DAC Count,Timing Error(ns),GPS Last Update Time,
1570086045,2019-10-03 07:00:45.727,57.990592N 10.574553E 177m,Off,6,3.1361818E0,1.9045156E0,Time OK,Free running,41500,8737,0,2019-10-03 06:25:22.000000000,
1570086105,2019-10-03 07:01:45.722,57.990592N 10.574553E 177m,Off,6,3.1361818E0,1.9045156E0,Time OK,Free running,43100,8737,0,2019-10-03 06:25:22.000000000,
1570086165,2019-10-03 07:02:45.722,57.990592N 10.574553E 177m,Off,6,3.1361818E0,1.9045156E0,Time OK,Free running,44500,8737,0,2019-10-03 06:25:22.000000000,
1570086225,2019-10-03 07:03:45.722,57.990592N 10.574553E 177m,Off,6,3.1361818E0,1.9045156E0,Time OK,Free running,45600,8737,0,2019-10-03 06:25:22.000000000,
1570086285,2019-10-03 07:04:45.724,57.990592N 10.574553E 177m,Off,6,3.1361818E0,1.9045156E0,Time OK,Free running,46700,8737,0,2019-10-03 06:25:22.000000000,
1570086345,2019-10-03 07:05:45.722,57.990592N 10.574553E 177m,Off,6,3.1361818E0,1.9045156E0,Time OK,Free running,48300,8737,0,2019-10-03 06:25:22.000000000,
1570086405,2019-10-03 07:06:45.722,57.990592N 10.574553E 177m,Off,6,3.1361818E0,1.9045156E0,Time OK,Free running,49900,8737,0,2019-10-03 06:25:22.000000000,
1570086465,2019-10-03 07:07:45.722,57.990592N 10.574553E 177m,Off,6,3.1361818E0,1.9045156E0,Time OK,Free running,51200,8737,0,2019-10-03 06:25:22.000000000,
1570086525,2019-10-03 07:08:45.723,57.990660N 10.574667E 184m,Doing fixes,6,3.3521562E0,2.3254235E0,Time OK,Coarse lock,100,9267,-9895,2019-10-03 07:08:42.000000000,
1570086585,2019-10-03 07:09:45.722,57.990624N 10.574620E 190m,Doing fixes,7,2.9690807E0,1.9686538E0,Time OK,Fine lock,100,8746,0,2019-10-03 07:09:42.000000000,
1570086645,2019-10-03 07:10:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,100,8744,0,2019-10-03 07:10:42.000000000,
1570086705,2019-10-03 07:11:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,1000,8744,0,2019-10-03 07:10:42.000000000,
1570086765,2019-10-03 07:12:45.724,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,1900,8744,0,2019-10-03 07:10:42.000000000,
1570086825,2019-10-03 07:13:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,3100,8744,0,2019-10-03 07:10:42.000000000,
1570086885,2019-10-03 07:14:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,4200,8744,0,2019-10-03 07:10:42.000000000,
1570086945,2019-10-03 07:15:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,5100,8744,0,2019-10-03 07:10:42.000000000,
1570087005,2019-10-03 07:16:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,6000,8744,0,2019-10-03 07:10:42.000000000,
1570087065,2019-10-03 07:17:45.724,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,6800,8744,0,2019-10-03 07:10:42.000000000,
1570087125,2019-10-03 07:18:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,7600,8744,0,2019-10-03 07:10:42.000000000,
1570087185,2019-10-03 07:19:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,8500,8744,0,2019-10-03 07:10:42.000000000,
1570087245,2019-10-03 07:20:45.724,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,9300,8744,0,2019-10-03 07:10:42.000000000,
1570087305,2019-10-03 07:21:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,10200,8744,0,2019-10-03 07:10:42.000000000,
1570087365,2019-10-03 07:22:45.723,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,11400,8744,0,2019-10-03 07:10:42.000000000,
1570087425,2019-10-03 07:23:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,12200,8744,0,2019-10-03 07:10:42.000000000,
1570087485,2019-10-03 07:24:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,13000,8744,0,2019-10-03 07:10:42.000000000,
1570087545,2019-10-03 07:25:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,14200,8744,0,2019-10-03 07:10:42.000000000,
1570087605,2019-10-03 07:26:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,15400,8744,0,2019-10-03 07:10:42.000000000,
1570087665,2019-10-03 07:27:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,16600,8744,0,2019-10-03 07:10:42.000000000,
1570087725,2019-10-03 07:28:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,17500,8744,0,2019-10-03 07:10:42.000000000,
1570087785,2019-10-03 07:29:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,18500,8744,0,2019-10-03 07:10:42.000000000,
1570087845,2019-10-03 07:30:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,19600,8744,0,2019-10-03 07:10:42.000000000,
1570087905,2019-10-03 07:31:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,20500,8744,0,2019-10-03 07:10:42.000000000,
1570087965,2019-10-03 07:32:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,21700,8744,0,2019-10-03 07:10:42.000000000,
1570088025,2019-10-03 07:33:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,22900,8744,0,2019-10-03 07:10:42.000000000,
1570088085,2019-10-03 07:34:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,23900,8744,0,2019-10-03 07:10:42.000000000,
1570088145,2019-10-03 07:35:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,24700,8744,0,2019-10-03 07:10:42.000000000,
1570088205,2019-10-03 07:36:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,25600,8744,0,2019-10-03 07:10:42.000000000,
1570088265,2019-10-03 07:37:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,26900,8744,0,2019-10-03 07:10:42.000000000,
1570088325,2019-10-03 07:38:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,28000,8744,0,2019-10-03 07:10:42.000000000,
1570088385,2019-10-03 07:39:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,29000,8744,0,2019-10-03 07:10:42.000000000,
1570088445,2019-10-03 07:40:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,30000,8744,0,2019-10-03 07:10:42.000000000,
1570088505,2019-10-03 07:41:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,30800,8744,0,2019-10-03 07:10:42.000000000,
1570088565,2019-10-03 07:42:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,31700,8744,0,2019-10-03 07:10:42.000000000,
1570088625,2019-10-03 07:43:45.728,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,33000,8744,0,2019-10-03 07:10:42.000000000,
1570088685,2019-10-03 07:44:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,34600,8744,0,2019-10-03 07:10:42.000000000,
1570088745,2019-10-03 07:45:45.724,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,36100,8744,0,2019-10-03 07:10:42.000000000,
1570088805,2019-10-03 07:46:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,37400,8744,0,2019-10-03 07:10:42.000000000,
1570088865,2019-10-03 07:47:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,38300,8744,0,2019-10-03 07:10:42.000000000,
1570088925,2019-10-03 07:48:45.722,57.990632N 10.574591E 185m,Off,7,2.9665794E0,1.9671783E0,Time OK,Free running,39400,8744,0,2019-10-03 07:10:42.000000000,
