Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570629600,2019-10-09 14:00:00.000,-633494,,,,,,
1570629900,2019-10-09 14:05:00.000,-633494,,,,,,
1570630200,2019-10-09 14:10:00.000,-633494,,,,,,
1570630500,2019-10-09 14:15:00.000,-633494,,,,,,
1570630800,2019-10-09 14:20:00.000,-643217,,,,,,
1570631100,2019-10-09 14:25:00.000,-633494,,,,,,
1570631400,2019-10-09 14:30:00.000,-633494,,,,,,
1570631700,2019-10-09 14:35:00.000,-643217,,,,,,
1570632000,2019-10-09 14:40:00.000,-633494,,,,,,
1570632300,2019-10-09 14:45:00.000,-633494,,,,,,
1570632600,2019-10-09 14:50:00.000,-633494,,,,,,
1570632900,2019-10-09 14:55:00.000,-633494,,,,,,
