Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570024800,2019-10-02 14:00:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,38300,9512,90,0,
1570025100,2019-10-02 14:05:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,46900,9512,90,0,
1570025400,2019-10-02 14:10:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,2200,9515,90,0,
1570025700,2019-10-02 14:15:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,11100,9515,90,0,
1570026000,2019-10-02 14:20:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,20100,9515,90,0,
1570026300,2019-10-02 14:25:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,28700,9515,90,0,
1570026600,2019-10-02 14:30:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,37300,9515,90,0,
1570026900,2019-10-02 14:35:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,46100,9515,90,0,
1570027200,2019-10-02 14:40:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,1100,9511,90,0,
1570027500,2019-10-02 14:45:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,9700,9511,90,0,
1570027800,2019-10-02 14:50:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,18100,9511,90,0,
1570028100,2019-10-02 14:55:00.000,57.991719N 10.547463E 129m,Off,8,Time OK,Free running,26600,9511,90,0,
