Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570042800,2019-10-02 19:00:00.000,57.991719N 10.547463E 129m,Off,5,Time OK,Free running,44900,9525,90,0,
1570043100,2019-10-02 19:05:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,2100,9528,90,0,
1570043400,2019-10-02 19:10:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,11100,9528,90,0,
1570043700,2019-10-02 19:15:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,21300,9528,90,0,
1570044000,2019-10-02 19:20:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,33500,9528,90,0,
1570044300,2019-10-02 19:25:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,47500,9528,90,0,
1570044600,2019-10-02 19:30:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,3900,9529,90,0,
1570044900,2019-10-02 19:35:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,13700,9529,90,0,
1570045200,2019-10-02 19:40:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,24900,9529,90,0,
1570045500,2019-10-02 19:45:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,37700,9529,90,0,
1570045800,2019-10-02 19:50:00.000,57.991719N 10.547463E 129m,GNSS unlocked,0,Time OK,Free running,52300,9529,90,0,
1570046100,2019-10-02 19:55:00.000,57.991719N 10.547463E 129m,Off,7,Time OK,Free running,6500,9531,90,0,
