Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570410000,2019-10-07 01:00:00.000,-633494,,,,,,
1570410300,2019-10-07 01:05:00.000,-633494,,,,,,
1570410600,2019-10-07 01:10:00.000,-643217,,,,,,
1570410900,2019-10-07 01:15:00.000,-633494,,,,,,
1570411200,2019-10-07 01:20:00.000,-623770,,,,,,
1570411500,2019-10-07 01:25:00.000,-623770,,,,,,
1570411800,2019-10-07 01:30:00.000,-623770,,,,,,
1570412100,2019-10-07 01:35:00.000,-633494,,,,,,
1570412400,2019-10-07 01:40:00.000,-633494,,,,,,
1570412700,2019-10-07 01:45:00.000,-633494,,,,,,
1570413000,2019-10-07 01:50:00.000,-633494,,,,,,
1570413300,2019-10-07 01:55:00.000,-633494,,,,,,
