Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1569967200,2019-10-01 22:00:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,23400,9521,90,0,
1569967500,2019-10-01 22:05:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,32300,9521,90,0,
1569967800,2019-10-01 22:10:00.000,57.991894N 10.547354E 202m,Off,9,Time OK,Free running,41600,9521,90,0,
1569968100,2019-10-01 22:15:00.000,57.991894N 10.547354E 202m,GNSS unlocked,0,Time OK,Free running,51300,9521,90,0,
1569968400,2019-10-01 22:20:00.000,57.991894N 10.547354E 202m,Off,8,Time OK,Free running,6300,9524,90,0,
1569968700,2019-10-01 22:25:00.000,57.991894N 10.547354E 202m,Off,8,Time OK,Free running,14900,9524,90,0,
1569969000,2019-10-01 22:30:00.000,57.991894N 10.547354E 202m,Off,8,Time OK,Free running,23400,9524,90,0,
1569969300,2019-10-01 22:35:00.000,57.991894N 10.547354E 202m,Off,8,Time OK,Free running,32300,9524,90,0,
1569969600,2019-10-01 22:40:00.000,57.991894N 10.547354E 202m,Off,8,Time OK,Free running,41700,9524,90,0,
1569969900,2019-10-01 22:45:00.000,57.991894N 10.547354E 202m,GNSS unlocked,0,Time OK,Free running,51400,9524,90,0,
1569970200,2019-10-01 22:50:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,2400,9521,90,0,
1569970500,2019-10-01 22:55:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,11100,9521,90,0,
