Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570420800,2019-10-07 04:00:00.000,-633494,,,,,,
1570421100,2019-10-07 04:05:00.000,-633494,,,,,,
1570421400,2019-10-07 04:10:00.000,-633494,,,,,,
1570421700,2019-10-07 04:15:00.000,-623770,,,,,,
1570422000,2019-10-07 04:20:00.000,-633494,,,,,,
1570422300,2019-10-07 04:25:00.000,-633494,,,,,,
1570422600,2019-10-07 04:30:00.000,-633494,,,,,,
1570422900,2019-10-07 04:35:00.000,-633494,,,,,,
1570423200,2019-10-07 04:40:00.000,-633494,,,,,,
1570423500,2019-10-07 04:45:00.000,-623770,,,,,,
1570423800,2019-10-07 04:50:00.000,-633494,,,,,,
1570424100,2019-10-07 04:55:00.000,-633494,,,,,,
