Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570086000,2019-10-03 07:00:00.000,-614047,,,,,,
1570086300,2019-10-03 07:05:00.000,-623770,,,,,,
1570086600,2019-10-03 07:10:00.000,-614047,,,,,,
1570086900,2019-10-03 07:15:00.000,-623770,,,,,,
1570087200,2019-10-03 07:20:00.000,-614047,,,,,,
1570087500,2019-10-03 07:25:00.000,-614047,,,,,,
1570087800,2019-10-03 07:30:00.000,-623770,,,,,,
1570088100,2019-10-03 07:35:00.000,-623770,,,,,,
1570088400,2019-10-03 07:40:00.000,-623770,,,,,,
1570088700,2019-10-03 07:45:00.000,-623770,,,,,,
1570089000,2019-10-03 07:50:00.000,-623770,,,,,,
1570089300,2019-10-03 07:55:00.000,-623770,,,,,,
